Economy,Code,Region,Income group,Lending category
Afghanistan,AFG,South Asia,Low income,IDA
Albania,ALB,Europe and Central Asia,Upper middle income,IBRD
Algeria,DZA,Middle East and North Africa,Upper middle income,IBRD
American Samoa,ASM,East Asia and Pacific,High income,
Andorra,AND,Europe and Central Asia,High income,
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD
Antigua and Barbuda,ATG,Latin America and Caribbean,High income,IBRD
Argentina,ARG,Latin America and Caribbean,Upper middle income,IBRD
Armenia,ARM,Europe and Central Asia,Upper middle income,IBRD
Aruba,ABW,Latin America and Caribbean,High income,
Australia,AUS,East Asia and Pacific,High income,
Austria,AUT,Europe and Central Asia,High income,
Azerbaijan,AZE,Europe and Central Asia,Upper middle income,IBRD
"Bahamas, The",BHS,Latin America and Caribbean,High income,
Bahrain,BHR,Middle East and North Africa,High income,
Bangladesh,BGD,South Asia,Lower middle income,IDA
Barbados,BRB,Latin America and Caribbean,High income,IBRD
Belarus,BLR,Europe and Central Asia,Upper middle income,IBRD
Belgium,BEL,Europe and Central Asia,High income,
Belize,BLZ,Latin America and Caribbean,Upper middle income,Blend
Benin,BEN,Sub-Saharan Africa,Lower middle income,IDA
Bermuda,BMU,North America,High income,
Bhutan,BTN,South Asia,Lower middle income,IDA
Bolivia,BOL,Latin America and Caribbean,Lower middle income,IBRD
Bosnia and Herzegovina,BIH,Europe and Central Asia,Upper middle income,IBRD
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD
Brazil,BRA,Latin America and Caribbean,Upper middle income,IBRD
British Virgin Islands,VGB,Latin America and Caribbean,High income,
Brunei Darussalam,BRN,East Asia and Pacific,High income,
Bulgaria,BGR,Europe and Central Asia,High income,IBRD
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA
Burundi,BDI,Sub-Saharan Africa,Low income,IDA
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,Blend
Cambodia,KHM,East Asia and Pacific,Lower middle income,IDA
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend
Canada,CAN,North America,High income,
Cayman Islands,CYM,Latin America and Caribbean,High income,
Central African Republic,CAF,Sub-Saharan Africa,Low income,IDA
Chad,TCD,Sub-Saharan Africa,Low income,IDA
Channel Islands,CHI,Europe and Central Asia,High income,
Chile,CHL,Latin America and Caribbean,High income,IBRD
China,CHN,East Asia and Pacific,Upper middle income,IBRD
Colombia,COL,Latin America and Caribbean,Upper middle income,IBRD
Comoros,COM,Sub-Saharan Africa,Lower middle income,IDA
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,IDA
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,Blend
Costa Rica,CRI,Latin America and Caribbean,Upper middle income,IBRD
Côte d’Ivoire,CIV,Sub-Saharan Africa,Lower middle income,IDA
Croatia,HRV,Europe and Central Asia,High income,IBRD
Cuba,CUB,Latin America and Caribbean,Upper middle income,
Curaçao,CUW,Latin America and Caribbean,High income,
Cyprus,CYP,Europe and Central Asia,High income,
Czechia,CZE,Europe and Central Asia,High income,
Denmark,DNK,Europe and Central Asia,High income,
Djibouti,DJI,Middle East and North Africa,Lower middle income,IDA
Dominica,DMA,Latin America and Caribbean,Upper middle income,Blend
