percentiles,SLR_factor,SLR_weight_MG,SLR_weight_GIS,SLR_weight_AIS,average_fp_height,total_fp_length,population_fraction,asset_fraction
0,1.0112671563370759,1.0027616145514646,0.9162629025880019,1.075516115376817,1.5468191262815183,530335.3289999992,0.03808876880341621,0.02116339363081267
0-10,1.0306944255430224,1.0160115313973064,0.9965589099204092,1.1140155901473197,2.2064375085775305,294592.5099999997,0.09580912159854854,0.04552563788965565
10-20,1.0109183996901567,0.9848354936743746,0.9444842904127324,1.1063849530271261,2.2410537038514033,93797.35099999997,0.09655925848334745,0.07134138552917814
20-30,1.0032145134872499,0.9786790145926417,0.9408890729940471,1.1048365567527678,2.4403694620739222,49206.89099999999,0.09539607534651579,0.08560839344030623
30-40,1.0058669797428645,0.9693128377023115,0.9675406726799239,1.1132522131670435,2.5380469777221473,24461.466999999997,0.0961792192521704,0.0852843580798255
40-50,0.9964615193959605,0.9448915549627678,0.9541259128855603,1.0972401004323082,3.295283624844775,18117.013000000014,0.09665780752025599,0.08315016100319157
50-60,0.9950876766655203,0.9508436962274156,0.9640556953891757,1.089919756094482,3.1539966205472347,10559.106000000002,0.09564594475034068,0.07306690637181901
60-70,0.9924848888720557,0.9590268325360896,0.9420324084317201,1.099867661258686,3.47137778558069,7803.355,0.09556953718322324,0.09256528141081609
70-80,0.990406646624449,0.9532564215494558,0.9156665043759954,1.0998188171676386,3.596090282889453,4136.774999999998,0.08779393797005322,0.08930005600624599
80-90,0.9698017162388799,0.9151502957085303,0.8612550801841206,1.0826273357489018,3.799667121764676,3345.0670000000005,0.10511931784777881,0.13061311483608165
90-100,0.9580307123113037,0.8873458586401134,0.7944330301367936,1.1035423712579853,4.641037123841574,1879.062,0.09718101124435174,0.22238131180207107
