Region,SLR_factor,SLR_weight_MG,SLR_weight_GIS,SLR_weight_AIS,average_fp_height,total_fp_length,population_fraction,asset_fraction
0-10,1.0293966323396981,0.9502632723810803,1.0393192944824605,1.0864039538628352,1.8258644554934844,38915.483476005495,0.08557714132248581,0.011197069478654136
10-20,1.0552315112454393,1.038188339090675,1.0844160353127104,1.1219984829020981,1.2630884195627388,52860.31457418203,0.07683777652852708,0.028947128643473947
20-30,1.0373808154180784,0.9633191560665362,1.0747499951496293,1.103051402617128,1.627613415979722,8867.268872588873,0.09583651626876852,0.02019189764463009
30-40,1.0461442509733123,1.0192727143136036,1.06264545567171,1.1138165182599997,1.5286490767363465,49632.29553499818,0.09172469247734702,0.028891900192887326
40-50,1.0378389810347883,1.0479172345025867,1.031710341891934,1.1123772731490214,1.2266158872020814,48941.71951916814,0.0979711979324002,0.06329144085970516
50-60,1.0472995911173497,0.9942753798160235,1.0898413262124962,1.1039060493238972,1.433842816986919,48561.33077728748,0.1046073135358155,0.057971391646595004
60-70,1.05186890844389,0.9707942869562108,1.094419335508264,1.117310123516325,2.5745908173576075,10907.260915756226,0.11907462077313005,0.04032188360121909
70-80,0.9759155352120704,0.9075010314103056,0.864774880788631,1.0640147619866687,1.377819263888436,101669.16459381394,0.10486178586003948,0.1574103996397799
80-90,0.9159865678755786,0.900234404774193,0.81085817074153,1.0916056699675991,2.0077226646540898,108798.67955781426,0.11976679436778483,0.33147243362848483
90-100,0.9868246920692127,0.9169020973588228,0.8897861194277145,1.1209333168243834,1.7334447161616011,60676.3479770571,0.10374216093370156,0.26030445466457014
