Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0,2.0879382860596487,2.0017413891226177,356677.17938692606,0.0,0.016248227749680683,0.007450787505273922,1996.0690557493797,0.0
0-10,1.8213665785732738,2.497924621577311,868021.5875087106,0.0,0.05076288284850141,0.04438634762051514,30779.387685940863,0.0
10-20,2.167696923206639,2.26718442094951,337960.79852849804,0.0,0.055766833214317614,0.02742410859639042,7945.413005262184,0.0
20-30,2.4963927738977616,2.217107828555056,184808.90832990565,0.0,0.03727500259785466,0.012241064541994372,2113.6045299173134,0.0
30-40,2.4244117382464343,2.065571721736425,91713.49551703896,0.0,0.049525379663455986,0.015875868156668138,1245.549128864769,0.0
40-50,2.8611377551203865,2.3737836667732646,78642.35487095053,0.0,0.03619256070620957,0.009383058560660535,814.7004482766223,0.0
50-60,3.1134212483882076,2.4371042605220987,82933.09065832625,0.0,0.079028941664349,0.017662268181183174,1784.3841949476844,0.0
60-70,3.547325777085747,2.257303903503252,34750.39737031867,0.0,0.07323930576831145,0.00984952709514508,413.52997495998255,0.0
70-80,3.3362613364943488,2.6545630979128707,13192.668162515152,0.0,0.07613895358626845,0.018892778166165226,364.08717153529034,0.0
80-90,3.025770026008426,2.541292028660553,12299.754636545938,0.0,0.08933750891416432,0.027372132009040893,448.2210286607225,0.0
90-100,1.8017127482331203,4.028050689823725,29657.185650989173,0.0,0.12397157482291288,0.8334289539678047,36564.06946610033,0.0
