Region,a,b,c,a SD,b SD,c SD
0-10,578215.9028138847,1.657339729690425,0.0,8242.069651706897,0.045087347130082195,0.0
10-20,198875.94841859146,1.7127787462760447,0.0,3366.347012264009,0.05543653331049546,0.0
20-30,167285.9847757942,0.8582015488395747,0.0,1563.9659322917748,0.012956673359923161,0.0
30-40,71248.95002799385,1.1820240995543214,0.0,1049.68770160874,0.0303705375394869,0.0
40-50,109483.11788103796,0.6125827785195188,0.0,1454.8828470138153,0.01217225347099683,0.0
50-60,124922.72511378594,0.445085979751719,0.0,1369.065334296979,0.00680418572708989,0.0
60-70,58280.765014762,0.5288563365357972,0.0,374.1272534713553,0.00490474166434667,0.0
70-80,25646.845411208265,0.597415842431408,0.0,196.1781461027474,0.006782818261329242,0.0
80-90,19538.764935651685,0.7073180184246367,0.0,166.39094835354064,0.009221630392265904,0.0
90-100,15703.35519914925,1.3935960023651341,0.0,213.66464171965777,0.03397933844118211,0.0
