Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0,3.0778985366951144,1.982848160187582,0.002272928972103042,0.0,0.037609498243493106,0.005980471667895863,1.2615314947350541e-05,0.0
0-10,2.896936016587466,1.6327539117323475,0.09109252838038186,0.0,0.06825930313670421,0.011545423381231231,0.0007946276508449604,0.0
10-20,2.4264823678800855,1.854510303597128,0.13734914559675834,0.0,0.04511269926473793,0.01302492031413867,0.001399069761215501,0.0
20-30,2.6138890131758443,2.0017082756824744,0.1672315086124755,0.0,0.02788339194573761,0.007083983702282932,0.001037746832879544,0.0
30-40,2.1693672741325667,2.2649137697176824,0.20172006754560873,0.0,0.035898282719038166,0.017741938928785284,0.003079894821886505,0.0
40-50,2.4004799718724095,2.170207230380111,0.1867070853356932,0.0,0.039210768160434055,0.01396617095474502,0.002334425346304139,0.0
50-60,2.3949707841410715,2.156414609565466,0.2667348862828233,0.0,0.04738078792376382,0.017015001454088272,0.004058756967893562,0.0
60-70,2.7063484357827923,2.301448226605316,0.2149504858289397,0.0,0.034167208863373426,0.009910828188152351,0.002217422185483504,0.0
70-80,3.2990476643968702,2.592226689299517,0.2843230782957236,0.0,0.07828912056215795,0.01832658046033963,0.007264976830017032,0.0
80-90,2.4327843147279533,2.8462110653983776,0.3305638931379737,0.0,0.049317767425578446,0.03804499658234942,0.016385850883183634,0.0
90-100,4.58117555685842,2.427394815404103,0.0781823629541677,0.0,0.19229545008710816,0.01768811268235228,0.0023530110735230612,0.0
