Region,a,b,c,a SD,b SD,c SD
0,0.0028610617530862087,1.7629926280638657,0.0,4.570033020299281e-05,0.05179170388028941,0.0
0-10,0.060507725687597894,2.8334613484093607,0.0,0.0009915840712352109,0.0963650376772643,0.0
10-20,0.0790006339031666,3.1193703143233544,0.0,0.0009614203607991549,0.08020455678591337,0.0
20-30,0.11115983261126229,2.2157636188210956,0.0,0.001330161143950689,0.05137585447618374,0.0
30-40,0.10666568169900968,2.4015685316502005,0.0,0.0010740506124982613,0.04783992819254278,0.0
40-50,0.13920931294061323,2.5438133725122403,0.0,0.0014036131436482148,0.051380952714695255,0.0
50-60,0.16021602775352933,3.307086858815638,0.0,0.0016791091831356443,0.0739922970877547,0.0
60-70,0.20379518059678395,1.6419118551675536,0.0,0.0016764057759380603,0.024233835095745535,0.0
70-80,0.20623126803856578,1.944141175143068,0.0,0.0017624500824823493,0.03108172999621041,0.0
80-90,0.22995100836787047,1.7231605624308965,0.0,0.0021600544017001,0.029192772499005853,0.0
90-100,0.16502279023348648,3.490600417121995,0.0,0.0010729963721615235,0.048589839139431316,0.0
