Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,2.5439959117790076,1.7000407821543597,0.1693217413080571,0.0,0.07730455910798656,0.01641055005511858,0.0016162005102097693,0.0
10-20,2.519478249084733,1.8083060517141636,0.24764163491240304,0.0,0.04702572311734722,0.010316453197091438,0.0015642346272692414,0.0
20-30,2.551986726174964,1.9281225863512834,0.27224868984555967,0.0,0.047145796821993116,0.01012218649654547,0.0017780089900757234,0.0
30-40,2.650831573214684,1.9878407645941898,0.3372567170252257,0.0,0.03586825272416843,0.007032636746349771,0.0015760128649962334,0.0
40-50,2.5855578221558164,2.210809365126689,0.40912993365714523,0.0,0.024274690211488644,0.00522190841715097,0.001531413579609333,0.0
50-60,2.3436090439495967,2.177251382853783,0.5035338128911114,0.0,0.04046024184315392,0.011254684070869611,0.003889360235855851,0.0
60-70,2.529015232861653,2.1261434458419015,0.36878272625385267,0.0,0.04388234948558512,0.009958048984063625,0.002572137282883797,0.0
70-80,2.565519529188321,2.6263514437277764,0.387362899495363,0.0,0.0422743893098773,0.010784209709871033,0.0035618354161341906,0.0
80-90,3.0995571076223922,2.4300553872656083,0.3578854375022981,0.0,0.05695579168611683,0.008563078781006683,0.0027637611451501874,0.0
90-100,1.7646494247653686,3.4949877761823296,0.5333033531223497,0.0,0.08270390988699124,0.12556907462655195,0.06395874872747506,0.0
