Region,a,b,c,a SD,b SD,c SD
0,0.0008809960739007255,1.7769078672418022,0.0,1.4943215465180858e-05,0.05553843993875531,0.0
0-10,0.0889870208957444,2.1007052974770364,0.0,0.001120362596525205,0.05097434858611821,0.0
10-20,0.09814085416708629,4.260810959952869,0.0,0.0011378789561094823,0.11268865101800898,0.0
20-30,0.13485060723702574,2.452514854000846,0.0,0.0015245075196490385,0.055089911366849584,0.0
30-40,0.1311187935900017,4.28785943126429,0.0,0.0016095622319827947,0.12011446889470206,0.0
40-50,0.19741422950254284,2.749509015522727,0.0,0.002204275597831646,0.06269372225657767,0.0
50-60,0.23212390477408973,2.9467344628485534,0.0,0.00374681889381139,0.09869363664243636,0.0
60-70,0.23758277652133136,1.5702947595522376,0.0,0.0028830052710787464,0.0338210291266184,0.0
70-80,0.22183627748463255,1.4907111293060045,0.0,0.0021606840131380726,0.025451846149832712,0.0
80-90,0.2250765594007039,1.9207921039010043,0.0,0.0016253555748411152,0.025692252110676158,0.0
90-100,0.19426293715704962,2.661629799326069,0.0,0.0011505311518590158,0.03156093103457367,0.0
