Region,a,b,c,a SD,b SD,c SD
0-10,0.0978386862193472,1.073518206141371,0.013342335981788814,0.0978386862193472,1.073518206141371,0.013342335981788814
10-20,0.12819824815867983,1.0423597148649872,0.010216924316993847,0.12819824815867983,1.0423597148649872,0.010216924316993847
20-30,0.11851753249553146,1.4911881031786907,0.018314023699532226,0.11851753249553146,1.4911881031786907,0.018314023699532226
30-40,0.15920549338132794,0.5712114168975213,0.023187445646988034,0.15920549338132794,0.5712114168975213,0.023187445646988034
40-50,0.11227314381131925,1.4797142518396926,0.02514150774288109,0.11227314381131925,1.4797142518396926,0.02514150774288109
50-60,0.1683754417215977,0.8797780357486574,0.03299654459127099,0.1683754417215977,0.8797780357486574,0.03299654459127099
60-70,0.0896930349746575,2.8787147593965106,0.04426585985025698,0.0896930349746575,2.8787147593965106,0.04426585985025698
70-80,0.090380658618863,1.9448421186438014,0.051032125828987196,0.090380658618863,1.9448421186438014,0.051032125828987196
80-90,0.14150344354147995,1.8481248239999513,0.015091293286667614,0.14150344354147995,1.8481248239999513,0.015091293286667614
90-100,0.15691240212366203,0.5032348031381395,0.033022696393593946,0.15691240212366203,0.5032348031381395,0.033022696393593946
