Region,a,b,c,a SD,b SD,c SD
0-10,0.12339490996653217,0.8066681042164487,0.01683207021503105,0.0006266989841643511,0.00765577085294285,0.0001294622006650776
10-20,0.1216086896769662,1.8253280846703626,0.010086068403006417,0.0015302099671411376,0.05759869166819881,0.0007931575959115967
20-30,0.11689843746877827,1.6105158150375039,0.019656545423812167,0.0011207783278942018,0.03671939593622935,0.0005024710391148282
30-40,0.11944942309980978,0.6574174195426425,0.022207452478049967,0.0013574550172167227,0.012940741018895826,0.00020874546695980552
40-50,0.10941884343078571,1.8299642418543094,0.04205740415100296,0.0006400922595005658,0.02674697889515801,0.0003285625240341063
50-60,0.1523258615625028,0.8302591840895153,0.03445395129351986,0.002596304208721478,0.026315538759939448,0.0005281506719662487
60-70,0.11229255062882076,2.3635486136175876,0.03550052176198664,0.0006134839380400733,0.03573441731221904,0.000410254178747242
70-80,0.13641947400323237,0.5402595126979336,0.03363386909567164,0.0037358898168901172,0.024036780023459242,0.00043441429465237996
80-90,0.11324422124379989,1.4501760872917098,0.013004220163583342,0.0015623982279760948,0.045041819811068896,0.0005986011366350613
90-100,0.13212499617010193,0.6885593878398378,0.028272112415775458,0.002136916512995279,0.019270206437160486,0.00032760248830314767
