Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,1.1082205172895767,-0.7301288681401322,0.14785174607407953,-0.06343150312252657,0.055636416965298495,0.23649776682640378,0.024272862492007503,0.023942630343713838
10-20,1.616341536259877,0.09408941011941388,0.22181718490537636,-0.027097291786603556,0.05508907866544202,0.06480139640246571,0.012831545499517871,0.012388526237223292
20-30,1.7729374624516427,0.45732504100111465,0.2509240144548142,-0.0015210057444197847,0.0647120683297791,0.04166884349262401,0.009951745392931635,0.00919143742668826
30-40,2.3190820275038107,0.6284363545654559,0.2502835412993622,0.026471838289348557,0.09946965825278842,0.02922661188702034,0.008409332979576979,0.007590661097325658
40-50,1.666044806992694,0.6938561149447711,0.3468636593660789,0.0037738426442213524,0.0567566117234292,0.029962256832813245,0.01022551214472251,0.008760584245881213
50-60,1.652144390083814,0.7474007066336664,0.38125013684279485,0.06062925934866002,0.04897988178971899,0.0247049608520149,0.009384209572123834,0.007902116652936546
60-70,2.346951833851195,0.9502058696552212,0.4034148932272215,0.05394076779469944,0.04404141439317692,0.008386553318360445,0.0042175347819751316,0.0032658454833257005
70-80,2.032976188464593,0.798894074197919,0.5413140386019274,-0.03497911041336127,0.04881939794802063,0.015019709853378463,0.009182116430803432,0.00768191214694012
80-90,2.55910357044749,1.1215193209953978,0.4802110587284871,0.021897680230689002,0.0314920740317719,0.0044645343783752,0.0027722411614074646,0.0018486055607982645
90-100,3.125816780871754,1.3924163291260367,0.524286900008448,0.0016105553381435204,0.055884414863365844,0.005828054341490147,0.003566087220190211,0.0017526951508748478
