Region,a,b,c,a SD,b SD,c SD
0,0.0003452504093819989,0.8656862920159538,0.006407968688169658,3.257197888543534e-05,0.14651890797256703,5.806988443969593e-06
0-10,0.04512646910653435,0.4527415547022016,0.11992299520333316,0.0006083436185623559,0.009072345657104562,4.55087109520938e-05
10-20,0.08525351894371423,0.3217136075747159,0.15823261058323018,0.0023371991603527258,0.011999948044686168,0.00010114504056269285
20-30,0.22484823811989618,0.15197776097389148,0.1909959477804719,0.00594622523390271,0.004767739487163105,7.407282626440693e-05
30-40,0.17925391840974703,0.18639257910974552,0.19467694893100318,0.0035438470913241485,0.004511635684535167,6.293071060884025e-05
40-50,0.15637499808570765,0.2995844400331551,0.2814526015132877,0.0027188274557311985,0.006961968226744326,0.00010348111516818965
50-60,0.36505309332700586,0.1301904034433751,0.350351437327926,0.014210661212510984,0.00588266118114406,0.00013335475218351133
60-70,0.207008943799502,0.3286417723032959,0.3365288361525378,0.00305207227823285,0.006596824559118264,0.00013270089510431256
70-80,0.25505549155306195,0.24663565070552845,0.3717445163225783,0.003770667717819006,0.004678421642407506,0.00010394348062172593
80-90,0.17548134206235674,0.3942105710647471,0.3864148222554592,0.0012432002825825282,0.003941440485757972,6.86322600336286e-05
90-100,0.18366841377236362,0.4146588527519628,0.3909153779454089,0.005303475067354663,0.01706311855241973,0.000311020109890759
