Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0,1.0807106528328565,-7.481304599109258,3.022192975537809,-3.0202960874449603,0.04598093440891834,144.54659061677862,471.10536053604227,471.1053564219282
0-10,0.26572894570261524,-28.436612748332294,266.3604830513739,-266.0696565220538,0.00954931952334342,145.88581490804935,10264.539039512234,10264.537615478455
10-20,0.5033832110574743,-16.09272462037165,412.29908243744694,-411.9717686724338,0.014556491332490129,123.53682743725827,25558.066957287196,25558.066328908422
20-30,0.5270663930192139,-13.751269219192187,266.5034683769265,-266.1145986823962,0.03370775959955973,151.92594956031945,21209.52499239675,21209.52215765742
30-40,0.8590609318800118,-0.4701466154974081,0.4037551162428078,0.017942890592706946,0.060574877667582315,0.2674853763358542,0.056457206479516346,0.05380241942762433
40-50,0.9457739825787429,-0.155579843610979,0.47311503211152806,0.07817486713410554,0.037037977850717226,0.11478792870866292,0.031093901102023223,0.029137831461632423
50-60,0.46671375992577047,-17.352077074745168,994.099430716215,-993.3974758718921,0.013379920841688547,141.48152858421645,65444.57078645542,65444.56927326518
60-70,1.4957523730800524,0.6569918485410575,0.4198479980145357,0.1297211583512194,0.03120753855989565,0.021010201018978714,0.00812455368450909,0.006943698881730141
70-80,0.892192961236413,-8.897193577566046,1053.193090922304,-1052.6668165550143,0.0275306243470504,87.31465804394767,81801.88254182674,81801.88100655681
80-90,1.3960853257312023,0.6401251553928198,0.5794641170555475,-0.0061423552835113224,0.0456921235900879,0.03437513451883583,0.018035792941520384,0.015189083298279631
90-100,3.3035920260607328,1.3763919386418513,0.5283124543284801,0.041359754830739615,0.05647477285332075,0.005359771560134332,0.0032764807323722167,0.0016423343981163854
