Region,a,b,c,a SD,b SD,c SD
0-10,0.27411035834873937,0.09564809206650109,0.16145172715366585,0.010705431016043716,0.004295894482905694,8.703012192522298e-05
10-20,0.48851091159106946,0.054346574745920515,0.2307475900547119,0.04061983936507548,0.004910452273261222,0.00011337780455358959
20-30,0.3899089858797057,0.10115668224630195,0.25073584862035464,0.008219196427935721,0.002458804663765731,6.964608908921362e-05
30-40,0.370541871238824,0.09707540533780015,0.31211363319127733,0.0039252405126897535,0.001180461895261655,3.1111824482288425e-05
40-50,0.19273398687161575,0.2726179826520214,0.4179160609277845,0.0027159054756379338,0.005239824345068073,0.0001184745912436773
50-60,0.5288604779064177,0.11024367092482801,0.4866860219600645,0.018421288442317982,0.004468889443727651,0.00017791512975547127
60-70,0.21883541996397457,0.4040153187338227,0.37330455411321734,0.006502038085260995,0.017966849842850442,0.000501864362103172
70-80,0.239928988152116,0.24584746790960135,0.3772257240237822,0.005925111493765196,0.008083952971540227,0.00021756409112758503
80-90,0.37327754665324814,0.18385397746108037,0.4020305540944906,0.0035789585045044358,0.0022075669441203516,7.882573662337694e-05
90-100,0.26758642538140154,0.35220494429344085,0.40250709484013364,0.018400590777053027,0.0347190975650964,0.0011079563462939215
