Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.6068110536245184,-14.290372775984181,2327455542.848104,-2327051963.2228556,0.02588124551461295,55.36087477681127,78065807265.23692,78065807097.51106
10-20,0.6584414385865378,-13.044005912499445,1075438223.1431518,-1075242630.9985657,0.015573352958506623,26.583993258800184,18796520461.749153,18796520542.518898
20-30,0.6925966242579552,-12.23399611863461,561711762.720762,-561598925.4210858,0.012751103858284303,,,
30-40,0.5008577113001915,-15.933667900337971,271843022.2237426,-271752579.0147491,0.008221888690847404,36.69854426288065,4981558946.571813,4981558833.988268
40-50,0.5188623175401746,-15.243222290574003,287341337.34285885,-287239290.6675692,0.004999431307981389,,,
50-60,0.608858684058455,-12.206263903262496,97714180.83911444,-97659257.13663478,0.033195697066885584,142.50007478775893,8438674150.779731,8438673660.762395
60-70,1.2805994383938886,0.41551704323812455,59178.65670921683,-23229.409479540485,0.04379242577878245,0.05927732412734771,2450.741852516864,2284.3467029353806
70-80,1.6308956343523457,0.9632055406951567,30111.620566462618,-5852.890119227019,0.04339198442087264,0.02052054361976042,550.5550033397035,460.72543523788084
80-90,1.4657692549592451,1.7143296939939323,39961.63255488384,-3987.0803641559046,0.07130655435664807,0.025511628747072655,1108.1787982493931,557.642946549224
90-100,1.0140861476932823,0.2014311986959938,56141.94931015696,-26904.71339032826,0.06848184301092955,0.1685412646169671,5448.780945109753,5118.475107334638
