Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.31878330636231084,-0.2427983954436455,1043293.8310914735,-432303.01987819886,0.009880102012902868,0.12940227403408394,37745.565558204355,29740.46863846784
10-20,0.5099869794926639,0.0038953530585856353,332152.72786256374,-103885.86079868086,0.008957999847543186,0.05923747532926441,7300.097278813841,6185.176566086979
20-30,0.5117922279377187,-0.33760012647675763,207678.6570583751,-77482.95058892341,0.01316240281910037,0.10482873834463546,7520.062306353198,6648.6470560809075
30-40,0.6782550812260097,0.7569295353679316,107639.26819391493,-18232.893673201783,0.01713039865300895,0.045177774401265705,2750.863985804746,2146.2855575747967
40-50,0.8048910317435736,1.0211932360943474,97136.12994881783,286.2158033539862,0.021352929051960096,0.0315211720555236,2323.7783689725215,1694.6623362194537
50-60,0.5658701443624172,-0.5369858086081024,99197.46972362847,-41547.406479624966,0.015592072427596764,0.12257512330544648,4386.684090455609,4021.404191596178
60-70,1.108729926449556,0.9137121526073088,36651.46724391814,458.16859449583046,0.013079917901692842,0.013990968028472711,375.5342196882609,308.373314605902
70-80,1.3519101892087673,1.174630532071243,22817.778595506887,2141.0925840760174,0.016781556206108203,0.009300474200371136,193.47849407772048,146.2992272232525
80-90,0.8913994152908786,2.411186532494815,44955.25676537894,1755.606533155049,0.013267265447173819,0.01801399454854332,588.9872242402862,156.965096973789
90-100,1.08915397750561,1.1072241022360805,30394.59581406713,-817.15623488577,0.00902550321057317,0.008572016105185562,199.89079477674204,156.4318364354779
