Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.30725410901090827,-2.36224595434508,1.8757327636071268,-1.0589201020039534,0.007135942109808232,0.2141580193777444,0.08006874607064184,0.07422023791098474
10-20,0.5230385942840546,0.6986711513506116,0.8502772374433046,-0.18588005571391403,0.006297867318123164,0.024252149017291662,0.010526677861051121,0.007835026018216912
20-30,0.7221412358746369,0.9291712572862026,0.7776551179961346,-0.11910971855282845,0.004192589114535678,0.008335693847217723,0.004283650787008458,0.0031962906151573774
30-40,0.7416762079670849,1.3312455771017029,0.7053216900782826,-0.07893228528945079,0.0026296244269920052,0.003188414074754801,0.0021344733363658397,0.0013808988996868888
40-50,0.7767082658346876,1.3841622975245318,0.6585642971000878,-0.01881028594615375,0.00785393612356547,0.0075885562971292585,0.005574978343553412,0.0034279829561364664
50-60,0.852767501838423,1.6171714767400795,0.5847139221478976,-0.03326709444221302,0.006815313865825893,0.004689069997708362,0.0036914646178464986,0.0019940020771272338
60-70,1.1173552084535952,1.4921173848090656,0.6230379413474428,-0.0032948075021557296,0.012748314525889417,0.007279654799825706,0.004897275784085438,0.003077148725620959
70-80,1.3358616193364692,1.6625899583267088,0.6627826373066582,0.013373368010600179,0.006984452178481328,0.002845325453578167,0.0020749334641318794,0.0011435649304322902
80-90,0.7914141935222748,3.42965523488701,1.1454806928908583,0.02289548404325588,0.010683377742743897,0.04112023543270993,0.0224283289622284,0.0019642201869241073
90-100,1.1466841285062523,1.8466646200321344,0.7910489810149592,-0.01324885873211165,0.005270153711462761,0.002730252374725723,0.0023223996064625314,0.0011891757158428572
