Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,1.8001771148565393,2.3551652953308855,520069.73836887046,0.0,0.022643833722701,0.012299690288276538,3732.1116812136966,0.0
10-20,1.972475786332545,2.229099175971398,163900.6329312427,0.0,0.029260486995293208,0.012522448760438327,1256.4426878574163,0.0
20-30,1.9440719839713787,2.2094549168137423,89337.0065936682,0.0,0.032621199626119556,0.014561538367926823,791.3974664590359,0.0
30-40,2.0361546137355915,2.2025896965100173,60331.283421483655,0.0,0.026989724883640022,0.010481377608768971,388.07395883668903,0.0
40-50,2.051654441029653,2.3854027551804053,67993.82259192884,0.0,0.026116550371899968,0.011048413840686656,516.0372963050831,0.0
50-60,3.114047362255093,2.1275335443991295,36837.510949415955,0.0,0.06066260689814989,0.008204120169241685,225.0147100068858,0.0
60-70,2.1700510479676454,2.6984438520264424,26572.15401355549,0.0,0.03886588220801888,0.01478719110928698,293.3995576174216,0.0
70-80,1.8672361259553487,2.6923728854234636,21819.789115801894,0.0,0.035691793394109494,0.020659872029167494,307.48847819123444,0.0
80-90,2.3370326333005527,2.35209360675264,27465.468396601755,0.0,0.07292765765758315,0.02074389110826824,402.48479764087847,0.0
90-100,2.1917438577557613,2.3026849556996734,40284.50550260841,0.0,0.04505444175099986,0.013961550037790519,348.1076639929702,0.0
