Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.9309280303232207,1.9098953364705331,395121.1739119622,-55125.31907843788,0.01680340752263054,0.01134449408944078,5190.625481593319,2521.726166256797
10-20,0.8211616600901577,1.6303502232795903,225067.93116366965,-40811.665105641114,0.013271598334092917,0.010047749208170722,2882.76680588564,1600.9493438219097
20-30,0.908210750672685,1.6063243119756931,120762.16586313728,-17979.53197519331,0.020603603836635318,0.013716049674352691,2089.979078015158,1170.894040005021
30-40,0.7248815420208307,2.0391666935408637,101563.84164219668,-17841.197454692247,0.011236262475116431,0.011765117139272007,1319.0449383679259,557.5883102783532
40-50,0.8575368825351001,1.8582245793499708,102819.09155523912,-13495.777456730693,0.018769761787465603,0.013924707489525961,1781.911533599813,805.4494237482726
50-60,1.154762893667173,1.7362575208989168,49541.25377245913,-4918.707554086213,0.01955368771754632,0.009473752523220287,566.5120444653029,279.68492252775496
60-70,1.1275055989859575,2.411451663454456,33574.79076816353,-495.11095060530533,0.019953792658348506,0.017554889217104918,454.2776216238378,119.30208649543935
70-80,1.0367844728395699,2.678855790452378,26065.873023226042,-581.3471271960651,0.01695542819062063,0.02270262243230267,388.7062176426721,73.35296194480016
80-90,1.2438469992478831,2.940461326508784,34314.91049778136,758.7747521479714,0.023224897001394823,0.030927173543886372,704.1212310986027,70.08017644160735
90-100,0.9664746151408496,2.5685527383602573,33097.12169185839,-2433.5181725533453,0.011679968674051893,0.013984643081725078,326.9928197826975,84.80859544054032
