Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,1.4727044215444869,2.3425578927315227,0.42678779105889253,-0.018243280940069762,0.01968277065682201,0.009825064103654864,0.0033791976409014196,0.0009950990768843404
10-20,1.4400176029225,2.2352533321090298,0.36323848818799437,-0.01880617763131289,0.02109245944747356,0.010772061893917682,0.003323204141336801,0.0009894638635320396
20-30,1.5526728311269382,2.3635174954762923,0.3177053024860244,-0.01176954928842805,0.021719020215335737,0.01107505202046403,0.0028566794498132556,0.000680585732982639
30-40,1.5307248666204207,2.1774027667727487,0.35771069808277517,-0.01883709081146402,0.03521600398842423,0.01544983567613187,0.004782279771994651,0.0015324616554477847
40-50,1.5642098466186094,2.3642827404560953,0.34425732935328235,-0.01321825113667906,0.03131718060407822,0.01647813619423215,0.004626965953404291,0.001019324335575829
50-60,1.8708774932252417,2.1208048051993136,0.34625978851780126,-0.011197872843615623,0.034432329865014724,0.010840671406342147,0.0032940020704760537,0.0010132108295012306
60-70,1.9283846273925105,2.3700545389632652,0.3463658568184545,-0.007022705500291169,0.028513494974818074,0.009364937241111574,0.0026626971248527747,0.000677357266255438
70-80,1.4619671922761714,2.562862213416775,0.3935971632476136,-0.013510871379016133,0.027174659664758644,0.017987140362946536,0.00536146866907479,0.001000965147838912
80-90,1.3141607408731217,2.3388436599745273,0.29116400198072734,-0.019363147845148913,0.07464377189614887,0.05162012373674286,0.012066163146296565,0.002947657191611633
90-100,1.9965767888912076,2.1464403109528067,0.5433970781369827,-0.017641745055049094,0.05733228354100934,0.015291111644136608,0.006665795641971024,0.0024880295458255034
