Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,1.9804320066783052,2.2905275814494614,0.4788418297133845,-0.008088020834541389,0.023171594992391638,0.006666712080640129,0.002553381090659725,0.0008045877015088709
10-20,1.710833021090488,2.1876358236906506,0.447744757731656,-0.015851517661034948,0.02409903905912415,0.008892816190014894,0.0033931359772404286,0.001053809715782434
20-30,1.4009900722207387,2.448995299165684,0.5373959323214602,-0.023575364249228594,0.026124689200491085,0.017300493527452384,0.007217435554454091,0.0015572397902323745
30-40,1.2243258205640206,2.3603480417671068,0.5113687324606458,-0.035257918351462914,0.026881969325968633,0.01997147223578781,0.008137692521036362,0.0021710912585964225
40-50,1.6383677328235013,2.5430812403519463,0.4852765986594689,-0.011287779947981864,0.031225794824627198,0.017554511227169264,0.00676336087842523,0.0011149732594703014
50-60,1.5860760283469197,2.4657852133863,0.3842634708544362,-0.011218357200937926,0.025850964195827938,0.014464599320891901,0.004429455759478068,0.0008333676997517554
60-70,1.8726027853186982,2.892461600746858,0.47057923636631926,-0.004097850637561367,0.033385540181943854,0.01686539190943264,0.006475913544984421,0.0007262544784124133
70-80,1.6171175035848198,3.3929426765178037,0.5520616339587094,-0.004113139559599063,0.03261388417195307,0.03619770832113449,0.01605265216739734,0.0006289534292055064
80-90,1.249174748952528,3.5147719122240306,0.5477634894656269,-0.010901306994418764,0.04346622693760351,0.092852251842363,0.03448141208949545,0.001200713183476996
90-100,1.4281764178479786,3.0723702647291216,0.6608471629123859,-0.0163379063176454,0.054331937020936576,0.05080865240781919,0.023271577468229554,0.0024264572348999002
