Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,1.023013985300294,1.6031868612522,0.6072635096873523,-0.09307613849640763,0.02444151328975659,0.015517139709243519,0.010192285548597586,0.006162316475887662
10-20,0.6902042561187327,1.6618737920994258,0.7205590612427402,-0.16098690400344814,0.00816362594673895,0.007424318815762901,0.007176055772032231,0.003869796954286027
20-30,0.6965807949119006,2.4704356285013236,0.7913075585634641,-0.10527867171284458,0.0056429891601282554,0.010972280920035955,0.005946232440356772,0.0017515733965286775
30-40,0.5574545710937672,2.869784950615482,0.8856240819945813,-0.13434255354012914,0.008222746823451242,0.030350336005609473,0.013509049676961985,0.0033489620474636736
40-50,0.6985239368099033,2.422447673571455,0.7468884132918675,-0.1052289544423414,0.0059029569511738905,0.011363656480334583,0.005889627260759603,0.001738352050891214
50-60,0.9438238181316266,2.6261719752944366,0.5022012114701607,-0.028655767559681165,0.010439166571853972,0.016476765734398012,0.005318390718170993,0.0010491406829425684
60-70,1.287541851388779,2.9149983378440463,0.5463629390185752,-0.0066203786166532915,0.006892392603772311,0.007674554386387698,0.0028238717862154672,0.00033537822500233426
70-80,1.0078358134651804,3.712438135031145,0.7301707600856097,-0.014754579882706651,0.0054748286008130045,0.01758842380679703,0.007276260036484783,0.00030059036264160527
80-90,0.6460189553215042,7.244624352829209,4.5441992312561945,-0.01867519556660134,0.01785211281692926,0.6731259366052363,1.5630259999790723,0.0019220574177994097
90-100,0.8707585176698409,3.705522010519618,0.9876963516901078,-0.04063749971366913,0.024233626536339495,0.08538261381400154,0.04187075679492061,0.002797712989023002
