Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.520557065573606,2.4040186511003343,0.580261333127028,-0.08215358584013331,0.520557065573606,2.4040186511003343,0.580261333127028,-0.08215358584013331
10-20,0.5840955701339364,2.508166952952749,0.47143062203596364,-0.050515582543010376,0.5840955701339364,2.508166952952749,0.47143062203596364,-0.050515582543010376
20-30,0.6110888062854553,2.63963209511576,0.4203929079795066,-0.029842890108322768,0.6110888062854553,2.63963209511576,0.4203929079795066,-0.029842890108322768
30-40,0.6263282357855087,2.3937285856920125,0.4722804181852546,-0.04317526606914965,0.6263282357855087,2.3937285856920125,0.4722804181852546,-0.04317526606914965
40-50,0.7655793009902624,2.333407724148676,0.40174552457633256,-0.005001774022516673,0.7655793009902624,2.333407724148676,0.40174552457633256,-0.005001774022516673
50-60,0.7051550497849662,2.218223512168317,0.43685608613162435,-0.03425420466416503,0.7051550497849662,2.218223512168317,0.43685608613162435,-0.03425420466416503
60-70,0.9428147731534647,2.31696480741662,0.36884301907612593,-0.005393938835275351,0.9428147731534647,2.31696480741662,0.36884301907612593,-0.005393938835275351
70-80,0.8366069849081549,2.3600098355435666,0.4121994514471514,-0.016540347537166135,0.8366069849081549,2.3600098355435666,0.4121994514471514,-0.016540347537166135
80-90,0.6884290100555712,2.6471666531140525,0.5391154399340032,0.08717424828271014,0.6884290100555712,2.6471666531140525,0.5391154399340032,0.08717424828271014
90-100,1.055425820499235,1.9835791283442423,0.5701158085995589,-0.041868080231626685,1.055425820499235,1.9835791283442423,0.5701158085995589,-0.041868080231626685
