Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.5644573323923241,-14.671720815142118,2162.256555829575,-2161.701690466169,0.025308808767885375,223.74769200507592,272495.30309813184,272495.3009061841
10-20,0.36878092121132355,-22.028225106081074,2101.8202278969316,-2101.1910548158653,0.010719168374862758,,,
20-30,0.2809543782959667,-26.41345441432334,1384.1301792273848,-1383.3067114522837,0.006682104585882448,60.780714734766065,23488.528440859063,23488.52468903579
30-40,0.10616345083856189,-52.08140133477293,378.97486058679283,-377.4767491347111,0.03327676215448918,460.2544030871094,17842.757000050446,17842.563326676842
40-50,0.25149989824908336,-28.751203913729153,1129.6145147998236,-1128.8053474579049,,,,
50-60,0.7483030249442149,1.6772819736197087,0.8288300942536967,-0.18715163411220484,0.018428850142100772,0.014655377206274352,0.016846539640163204,0.008807637385731152
60-70,0.5665589594888091,1.1453907543561646,1.109801704171875,-0.3860000140173417,0.024008225882426595,0.05303864000099872,0.04393309707884812,0.029236426541785265
70-80,0.9924940191497893,2.233522947263137,0.7677548241992457,-0.07891346935706804,0.005551346279656414,0.0049474998801920965,0.003307095816854684,0.001095416675281788
80-90,0.31013553281108963,5.07537253415048,2.9914237352241604,-0.5263677872242283,0.049778401653750616,1.118200050197951,0.718772943150682,0.08490661828268878
90-100,1.2815747233022046,1.826646463333638,0.7589537464809549,-0.07147319735141919,0.005372565956920524,0.0024071809844183672,0.0018850276313427446,0.0009729152154026772
