Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.24493789487737816,-4.761556557753124,3.1541367268428826,-2.2790763887816143,0.006052868846304093,0.3941089287863467,0.19538527492904215,0.18774776564463908
10-20,0.501918837877251,1.1497525775479251,0.9127530299527216,-0.22685513415478303,0.002153508010662215,0.005410614680287218,0.00371017493273577,0.002398464286915475
20-30,0.7782338583029826,1.4954005003496966,0.7244090169495654,-0.08679815536049805,0.0037187426174223525,0.003311741247500444,0.002843025382341506,0.0016814253690962185
30-40,0.7161422313746793,1.8045172925768376,0.7576654018296595,-0.10332937561834665,0.0025719037602124745,0.0022142935487568646,0.0022568715945884867,0.0011220481988600606
40-50,0.8232533562986386,1.8138813007769763,0.611117051954111,-0.006567046031164195,0.004125560179676852,0.0030806985684425814,0.002456921801896886,0.0011526966377165629
50-60,0.8548114190501371,2.038485594465284,0.5826805334381209,-0.040761483068042954,0.002829027677663454,0.0026008080063113607,0.0015640098106226182,0.0006076364755035711
60-70,1.0757168371678263,1.9399704439493746,0.6514184350801321,-0.019468833652122798,0.005266854684906548,0.0030967069780480673,0.002204552407326903,0.000976625849698064
70-80,1.264201250874638,2.1459969456519463,0.6723308651899765,0.007091321788438036,0.003225619036668739,0.0018628942173361557,0.001133099446844041,0.0003858949359606112
80-90,0.7951760204118665,3.770585952265886,1.0678589705974417,0.023421118292399304,0.008022709788629673,0.03851524925204715,0.019295413817094733,0.0010684768629090357
90-100,1.064609622774575,2.3822000954368665,0.8318070431714665,-0.028555563036373986,0.0013206380722026586,0.0011329064350428179,0.0007555732243464189,0.0002326224973751483
