Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.4160488177530546,0.41349121269665645,0.8341713707186502,-0.23220324828080136,0.009025461916036178,0.05904328034241023,0.019573071373691398,0.01481356028634559
10-20,0.5120054081289539,0.8085387454167221,0.6810473606751439,-0.12198281993958615,0.0033792077082817067,0.012011210142081117,0.004507849214677784,0.0032402393144866587
20-30,0.509067877132357,0.9903160565727658,0.6680421045643562,-0.1124263430185523,0.0040262444410855336,0.011797138084045904,0.0051182420971765735,0.0034754399696658804
30-40,0.4789434852234097,0.1385905730614572,0.865478988426482,-0.27027467574083525,0.0074129499293853224,0.04844104265329092,0.015796938797197967,0.012916001445478139
40-50,0.549857693153048,0.5878535228112483,0.7366590269652065,-0.14767880012487658,0.008609673981854546,0.03271053924475932,0.012130975410583658,0.009252959256942481
50-60,0.7268266159809799,0.6333363417126748,0.6317528572105509,-0.09128669057760479,0.015299058796671497,0.039775251273124305,0.013980933788647738,0.011311542027648133
60-70,0.5549240786905181,0.2761759585930847,0.8879361703243279,-0.2778215436149945,0.030214507710011055,0.15238905095461927,0.05662119059683625,0.04690408406403995
70-80,0.674353491860622,0.9806239345886305,0.8063256593269351,-0.15164150718185493,0.022632510965282522,0.04787194860417035,0.025574536455406163,0.01863167930212141
80-90,0.6888303097831638,0.5450369458316306,0.7650030644369371,0.09504520253024475,0.016797504875005805,0.05131656312218048,0.020318615779989335,0.016648311700846175
90-100,1.2038268797252138,-0.1063831062335265,1.1464929330406821,-0.46703649375853806,0.03181698719804673,0.07759880721274857,0.06034952603317278,0.058824563622891256
