Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.44852461607004734,0.12585712326674103,0.960187937259698,-0.291895921075084,0.009965063562322038,0.07377061206610001,0.02514876949904037,0.020519165410859026
10-20,0.5216051730039906,0.8361421831083962,0.6864868145932738,-0.11445755558533645,0.002933042293201912,0.009963590655510795,0.003849093568864194,0.0027610599774499137
20-30,0.5377823288140388,1.1562903840685486,0.6372665803506197,-0.086646963138128,0.003942572974637636,0.008796659859400644,0.004384089555515608,0.0028452305697396936
30-40,0.46782928179105365,0.14741089750398573,0.8624163639816753,-0.25888026278501025,0.004759424749830981,0.03178680047173729,0.01026429094014749,0.008333824111924092
40-50,0.5211899312067306,0.2840473960683474,0.8207894398127321,-0.21744203259655728,0.010801525212130191,0.05586249679781504,0.019383543621122087,0.015599874860449022
50-60,0.615561202701047,0.625273451167839,0.6863637054715758,-0.11917361861070551,0.00934356713352018,0.02999429599646098,0.010906642508477948,0.008478371114335371
60-70,0.678547718861001,0.6683928308417352,0.7317091237937329,-0.16846016880569434,0.02345356486591208,0.06763430445771318,0.026441530869513865,0.021166274167725454
70-80,0.5084494091738074,-0.34903229080985926,1.0896902168456915,-0.4602593673674825,0.029395455685057227,0.2391946287025075,0.0891493992640996,0.07896168532400862
80-90,0.7315545316735773,1.358671059410129,0.652654003507709,0.16948580734776858,0.013744998017197935,0.01506925819678438,0.010489797065638186,0.006509841101027514
90-100,0.8280224787970101,-1.1316992972905597,2.069592263653191,-1.3460133021530432,0.025318410077448363,0.20190077511243218,0.2190746415774772,0.216369779566515
