Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.29568820112657085,-3.159262103173887,2.010383608451983,-1.1904155113860933,0.006684908087328404,0.25952031459032454,0.0985966803942029,0.09351278864669577
10-20,0.5153133211180079,0.4040088659900561,0.8311310880817394,-0.16021199084193344,0.004489949939535767,0.02237600341718658,0.008028318090287102,0.0063627666599476934
20-30,0.629007371819415,0.2229701757632304,0.8705977897787507,-0.1925924893397272,0.007005836529491594,0.030980073580114762,0.011863643080549019,0.01015287351855761
30-40,0.5879712533693453,0.5796626680387874,0.8635544243651899,-0.19394569810126414,0.004103230097773596,0.015234993925981396,0.006440859654927125,0.005081139363891486
40-50,0.6751058555495348,0.8886351540243619,0.7234093481513351,-0.052984426912881404,0.004364366534107574,0.009562394233869302,0.004511375215752714,0.0033211400350987995
50-60,0.7304941010517062,1.1504738905471086,0.64737946558287,-0.06367888783600292,0.005467042783958963,0.00787260829040463,0.004312136754875016,0.002930745340395273
60-70,1.0292718415486644,0.8844668023270491,0.6495120059811259,-0.01827787521394157,0.015193855143210134,0.01904987000826076,0.008663965291718497,0.007096562168658403
70-80,1.093734330857018,0.8829587005958868,0.7339235575172139,-0.03457633066226602,0.017237942409470047,0.019248195115642068,0.010248091416283007,0.008438434110044506
80-90,1.0501650951976185,2.1260499619585946,0.7663720010220547,0.09557317441585461,0.019766156472832586,0.015311703641181956,0.010888250820288029,0.003726390801805613
90-100,0.7839709367466827,0.45025675335453585,1.1423527729675886,-0.32495700190219823,0.013009720560066882,0.03855912290115379,0.02227678731329848,0.01948514363509958
