Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,2.0470148992826975,2.5903241808561415,115551.7963768465,0.0,0.03551353533308938,0.014425210438451292,1119.253569012195,0.0
10-20,1.777381932794838,2.2173412953241733,89319.65402783452,0.0,0.036161177275663946,0.019076820006979932,919.1849682433692,0.0
20-30,3.2203472320046655,1.7271577943952672,46610.03459287748,0.0,0.07968679854012355,0.00976696635661091,280.20456308974866,0.0
30-40,1.7612675275934204,2.529600787028942,134176.51092741295,0.0,0.021415220534016358,0.012477218721651346,984.7503473186879,0.0
40-50,2.0870590794226356,2.079869206861798,97812.21152332457,0.0,0.0257488467640843,0.008880917369428786,495.5683723893375,0.0
50-60,1.8700019371750645,2.25427816747383,171583.96569785528,0.0,0.033483656074094446,0.015580759035379593,1500.5571442687656,0.0
60-70,2.0137051383590667,3.2079814959754898,47090.02945005109,0.0,0.031963151711576265,0.01744070968943034,647.2598623669713,0.0
70-80,1.868919424661566,2.3759380646871535,157689.67134758722,0.0,0.016441317598983655,0.009025355750073178,927.0195039712262,0.0
80-90,2.104938954596543,2.2569023465778617,88321.95687227047,0.0,0.020768311419316603,0.008736786518199896,560.1387035324057,0.0
90-100,2.3417453860746944,2.226433358276028,113943.74711432002,0.0,0.044633111420146816,0.012422710765175652,972.9377856152502,0.0
