Region,a,b,c,a SD,b SD,c SD
0-10,816010.1625679736,0.04067324599523351,0.0,266752.76224112656,0.014025100908545342,0.0
10-20,664656035.3452325,3.393475755426959e-05,0.0,16143828382.701147,0.0008242805619917374,0.0
20-30,41725.53066990368,0.6450995330573798,0.0,1225.9917376656852,0.029163525295542943,0.0
30-40,1165383162.9957693,2.6949192779434684e-05,0.0,44657023034.41622,0.0010327197119432243,0.0
40-50,1836859.5599895143,0.014946409518421454,0.0,1145168.4016570214,0.00951223016713388,0.0
50-60,1316721730.3206074,3.401634926184355e-05,0.0,76887821110.46118,0.0019862654090187486,0.0
60-70,299875325.2903519,2.807705665889016e-05,0.0,52636531975.73459,0.004928477280210228,0.0
70-80,1287024550.964067,3.4367513994522696e-05,0.0,22644025559.486202,0.0006046910563682025,0.0
80-90,224144.96113512715,0.20715582250296438,0.0,37431.05265753534,0.04180172815115685,0.0
90-100,693535955.4991015,5.00398233084849e-05,0.0,26964978099.94406,0.001945697041901655,0.0
