Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,2.4624951981719194,2.907375229953287,0.4412616082971103,0.0,0.10202363894156315,0.028904597177311617,0.01067878617170383,0.0
10-20,1.3958601191345497,2.7178687916584,0.583298070115605,0.0,0.05157061528068335,0.0607654170072524,0.01891490404200954,0.0
20-30,2.0567857747074823,2.4094308647081104,0.5610428220435781,0.0,0.09733802172510564,0.036447234839405464,0.012739671085151769,0.0
30-40,1.9087169876451973,2.5739983741054986,0.4440422206824634,0.0,0.032446670040442535,0.015345247649109411,0.004253808163322747,0.0
40-50,2.0097387253636465,2.363789001411561,0.4976601387348876,0.0,0.03503177236252141,0.013886923190520881,0.00422065987827788,0.0
50-60,1.6217554685856859,2.7124837558501254,0.35439726564026997,0.0,0.03836432471204179,0.029979573105779193,0.006267872025188608,0.0
60-70,1.878808001716948,3.6194435196968953,0.6601002814748186,0.0,0.023606572202976336,0.021210629036178052,0.012138658937529995,0.0
70-80,1.5755428654176369,2.5842786734703944,0.347208887914758,0.0,0.031407118550677,0.030288878838020616,0.006524902873672154,0.0
80-90,3.2943359891821644,1.624028008035904,0.30914813707120803,0.0,0.07344813501999946,0.008855226851971485,0.001951209335618679,0.0
90-100,2.3000855756751712,2.3158980232613935,0.3410110067431872,0.0,0.03721579081836198,0.011098501520276754,0.0026621199015034454,0.0
