Region,a,b,c,a SD,b SD,c SD
0-10,3349.0345645091993,2.6311397501920064e-05,0.0,391158.60204820224,0.003073222897704756,0.0
10-20,3171.5896171742647,3.580369778696007e-05,0.0,397954.6357521152,0.004492678852132299,0.0
20-30,4613.587428975776,3.107739488570981e-05,0.0,166833.7457997648,0.001123843801388039,0.0
30-40,3066.591266169624,3.4557087643302624e-05,0.0,101929.3304415135,0.0011487000685119068,0.0
40-50,3987.4797226375467,3.0293106949688522e-05,0.0,225753.5246961455,0.0017151457201197045,0.0
50-60,2494.655864217571,2.8017891527474013e-05,0.0,229306.32716009114,0.002575922844679295,0.0
60-70,2307.7214077779113,3.116965042379823e-05,0.0,722571.1742944914,0.009760094750491848,0.0
70-80,2442.1958720533585,3.342889996827156e-05,0.0,67735.36420576408,0.0009272030120272138,0.0
80-90,0.9682965150187971,0.19156404463350962,0.0,0.13541471120543827,0.032013471136473605,0.0
90-100,3238.666546536123,2.786788679080072e-05,0.0,239462.27555247076,0.0020606940015162646,0.0
