Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,2.808433812699562,2.699202879013471,0.5143967495658476,0.0,0.09167566316072355,0.016819001022619455,0.007110969582588815,0.0
10-20,1.5796313172278462,2.7320746289713114,0.5083095010695049,0.0,0.0348027303944227,0.029299485752423585,0.00865483671264517,0.0
20-30,2.4665043092940455,2.0560249560896784,0.496374963027687,0.0,0.07766655913296988,0.017569857156025798,0.005273467057931129,0.0
30-40,1.689364582646095,2.6285992366809188,0.4065073152422888,0.0,0.02405459807945611,0.016241057529088557,0.0038982834725130836,0.0
40-50,1.6766283694894644,2.294789932824242,0.4690918864659576,0.0,0.029241283945432114,0.018662745974198227,0.004755537310856597,0.0
50-60,1.5029816552908544,3.115675742263492,0.43307422409273044,0.0,0.029293109288814824,0.03406620070760088,0.009250306296204042,0.0
60-70,1.9372810304535564,3.593687396604102,0.6114259741974144,0.0,0.025758959179644318,0.020967344933416242,0.011285715392818925,0.0
70-80,1.609606520934154,2.9153237578967244,0.46393311323353065,0.0,0.022652883563916378,0.024728876400215424,0.007978381839578916,0.0
80-90,2.7385074898183244,1.8019577983356287,0.26750201596174117,0.0,0.062076320484099834,0.011677705381081994,0.002194746463213937,0.0
90-100,2.2631587390219514,2.3754893669983876,0.3891371567104815,0.0,0.04146141663358624,0.013140547061720806,0.003643808492934111,0.0
