Region,a,b,c,a SD,b SD,c SD
0-10,4461.811041290529,2.8457047376130836e-05,0.0,208506.54659090276,0.0013298821052861586,0.0
10-20,3048.8524156235544,3.283289273217017e-05,0.0,277982.17229089845,0.0029936989860286064,0.0
20-30,1.1733940576248014,0.1479336336499743,0.0,0.044440466656598065,0.006605520079934529,0.0
30-40,2589.723843970815,3.4766766091547484e-05,0.0,146292.34907140565,0.001964062569958557,0.0
40-50,4259.945093677142,2.6382878492069213e-05,0.0,168125.99805447002,0.001041294342492929,0.0
50-60,2588.268445267127,2.6301543973696672e-05,0.0,340808.3390108873,0.003463363192892907,0.0
60-70,2960.974070475892,2.420028399801598e-05,0.0,684598.997707393,0.005595466072084534,0.0
70-80,2580.0950351077395,3.2330554163165054e-05,0.0,268179.1157632269,0.0033606212402292547,0.0
80-90,1289.694950887713,9.033832438474812e-05,0.0,146725.2061396921,0.010280255333292972,0.0
90-100,4117.465752270583,2.4280639841087795e-05,0.0,243682.29374448926,0.0014370458515173472,0.0
