Region,a,b,c,a SD,b SD,c SD
0-10,2709.741207403669,3.524912724600017e-05,0.03602058168526677,2709.741207403669,3.524912724600017e-05,0.03602058168526677
10-20,2724.8666219683487,3.2241358006389696e-05,0.019145476081400863,2724.8666219683487,3.2241358006389696e-05,0.019145476081400863
20-30,3262.8881330146737,3.721394663284534e-05,0.0722411867272643,3262.8881330146737,3.721394663284534e-05,0.0722411867272643
30-40,2646.937652067324,3.3090425547480836e-05,0.06477001382341445,2646.937652067324,3.3090425547480836e-05,0.06477001382341445
40-50,2196.1150284956275,3.903267046807485e-05,0.031195284420041634,2196.1150284956275,3.903267046807485e-05,0.031195284420041634
50-60,2082.739245242453,2.9112541886238394e-05,0.0026511394334976417,2082.739245242453,2.9112541886238394e-05,0.0026511394334976417
60-70,4305.7710211647045,3.069685065968955e-05,-0.025902045879738662,4305.7710211647045,3.069685065968955e-05,-0.025902045879738662
70-80,1750.7332533219444,3.5379557039201415e-05,0.022411045269911486,1750.7332533219444,3.5379557039201415e-05,0.022411045269911486
80-90,1.9624823274927554,0.05361463494436566,0.08792617240616854,1.9624823274927554,0.05361463494436566,0.08792617240616854
90-100,2021.5275871278059,3.581580546383044e-05,0.012624891656086936,2021.5275871278059,3.581580546383044e-05,0.012624891656086936
