Region,a,b,c,a SD,b SD,c SD
0-10,1.3652531154270586,0.1192684877251191,0.15771285984883088,0.04019073576313688,0.004151481620644696,0.0004646906173449317
10-20,3502.532228184784,3.547313770590512e-05,0.041011968836133325,139116.2836808581,0.0014090352670727562,0.0012991542440009655
20-30,2.2199699990081316,0.06894285018150008,0.12685669545023065,0.10957258148683668,0.003783780185243861,0.000492335381909083
30-40,4200.389623327461,2.6407908750049152e-05,0.06577966619699505,80183.19271627627,0.0005041389297639886,0.0007599488827753017
40-50,1059.5381236295318,0.00011254403444581069,0.028246723177021173,46183.694458788836,0.00490659651082145,0.0008473076432266597
50-60,3235.6285892861447,2.9047032311307775e-05,0.003332960477724326,296220.6920887611,0.002659444865001504,0.002585066591789899
60-70,5240.525332402224,3.454614108862776e-05,-0.005695018541225631,335258.16834042204,0.0022102377324979892,0.0031568888024280576
70-80,2645.3140034450075,4.694120904296093e-05,0.027262160734413808,161296.11519780284,0.0028624118525135698,0.001462484868392712
80-90,1.528585204495802,0.08563047818596245,0.09789111156489087,0.33445125144452825,0.020976242162413682,0.0017220609244287804
90-100,1202.2184616613831,9.737089868885643e-05,0.04217710868818433,107398.2095415479,0.008698735112160218,0.0014022863675307836
