Region,a,b,c,a SD,b SD,c SD
0-10,0.678273697022322,0.2655806810220796,0.21705176493164785,0.03059464113778684,0.01631973720248949,0.0012920234061701054
10-20,50.34367278828065,0.002842430271591453,0.11438640550246347,289.0053384837532,0.016385356504262427,0.002758595112447628
20-30,0.963872281856472,0.20965867845003072,0.2879620070421813,0.09425513771780039,0.026677264137745012,0.00281476482177926
30-40,0.8428721794679642,0.14451186498346702,0.1979905962267533,0.049116217995720905,0.010274158583925112,0.0008142615114307103
40-50,0.6603242730768912,0.2260142277836637,0.166198265815964,0.03408154520792375,0.015396795556222047,0.0011428944230423327
50-60,3616.5044721356176,3.256231587807624e-05,0.0665278459439038,169346.0052160282,0.0015248474259120612,0.0014979144214841797
60-70,0.4404411718432788,1.1778739291643452,0.15031205607078194,0.017346008271725527,0.09767775610053317,0.005284878995027829
70-80,0.40225004152751076,0.319723670020254,0.1459436892312643,0.00929148539242481,0.010320541320581744,0.00046832999001167097
80-90,0.1745291518960494,2.135793327625484,0.22920846115612828,0.002850120508071354,0.08632368716278242,0.0014149999349205998
90-100,0.4881740204699537,0.3422781547870466,0.09999148353688228,0.01963460110562521,0.019614184314693917,0.0011158845490722808
