Region,a,b,c,a SD,b SD,c SD
0-10,0.40451587211242723,0.4670123704195171,0.32747142911821314,0.012218075475853215,0.022075451265035104,0.0011604479994021793
10-20,1.3242701174040044,0.11372787550890177,0.14114584039030653,0.12583093131080858,0.012735075157291572,0.0013994147805004376
20-30,1.2877418672111973,0.1122119203255768,0.2733147572393333,0.12671561804556955,0.01296973132064838,0.001347394348510586
30-40,1.8199833140915747,0.06157145129318927,0.1469178340307372,0.18852905843358375,0.007025131191021941,0.0007011339343975997
40-50,0.9338961503726717,0.1513721709195056,0.12221128095021137,0.041761562662666465,0.00830632821075421,0.0007349889718852666
50-60,3823.593950962287,3.54664011134594e-05,0.05865584483646996,241920.55906407264,0.002244124374362819,0.0022163791430481646
60-70,0.3931312666869628,1.052147195770457,0.18574438664958215,0.012217915261280507,0.06622670504996792,0.0032798846086870147
70-80,0.27491291300859316,0.840592143055816,0.15566928242633665,0.004529354824841236,0.025265289146650508,0.0008419382198763062
80-90,0.2564539622424478,0.8582242162996185,0.18281853740992896,0.0036802345964583906,0.022207360506495313,0.0006570972103833044
90-100,0.4012799122334742,0.4671078879016432,0.13727700927170022,0.01519832082318149,0.02727466743212228,0.0013428625601515944
