Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
1,0.8042312062491421,0.10285857467803974,999999.9999999999,-401961.8706553601,0.05212356504926797,0.17144684794656218,87573.18118501651,78584.82620077608
2,1.0079893644181364,2.752678932684267e-14,207545.47371233188,-102355.93390422847,0.08832218643061922,0.24016826114052428,29204.95102137414,27583.019296361468
3,0.8201221097525333,1.2043099315251356e-14,124431.17037950201,-61570.00867811489,0.09096350944077174,0.3262986388166875,20341.28425367159,18707.97787320542
4,0.8925839537604886,2.44791155840579e-16,109201.45707660899,-53258.264214703195,0.11370570293321161,0.37400224678829663,21562.2778294596,20166.938025395226
5,0.69227299022301,5.158839208109472e-15,91697.08581491289,-44831.774690207974,0.12253758273464689,0.5407867960540877,22263.810515601,19878.6678843142
6,1.1029606981909803,9.077321987768781e-19,61453.979977843795,-30329.834125848276,0.11184683356281867,0.2706957800457612,10458.864152263957,9987.83622559959
7,0.9992267840168068,2.9989730847487045e-18,48398.51766625975,-23829.682404535517,0.10755106573693671,0.2965785932717983,8345.14666786169,7877.053644863339
8,0.7857895812094461,1.8463340914794442e-16,61820.84768273436,-30614.349354640133,0.06999169700384232,0.26973990617222743,8049.179223292828,7381.358582280307
9,0.9411829969460221,2.6121353040252842e-20,66234.69517042457,-32376.285802468676,0.10895696767091455,0.33803791801725314,12258.875924832648,11569.029269177507
10,0.7003520901723499,5.462390729871289e-13,84652.26589504252,-40525.8241266165,0.16720738552698955,0.7419893436198355,28132.084926934505,25287.74068147922
11,0.8515732387255839,1.6495328440515331e-13,45224.54591066462,-22996.457463891773,0.0746296823669156,0.2619699814195141,6031.454060646505,5609.112004791317
12,1.1778650161277624,2.4391958821132383e-15,35818.0249374679,-18089.163911362844,0.09264427435264311,0.20566164374215504,4884.502462781491,4698.65467642022
13,1.0338448463810943,2.1487777156117827e-16,27275.883269569793,-13728.602673071753,0.0878497693887664,0.237491669016028,3835.7629962327037,3651.964000236782
14,0.8439244736042169,2.971765283905325e-19,35774.8915516157,-17997.66383074951,0.06183881478418917,0.22486002954349096,4031.290791298141,3762.007642518407
15,0.7728918199684601,3.6825778775329723e-13,27300.046345450868,-13577.358065220862,0.096246903475333,0.37555063906077957,4911.86943167628,4483.995109189883
16,1.0929317222323875,1.2565335117582259e-17,31916.51609997831,-16243.847264241083,0.052091224033362755,0.12860276004195403,2554.7104515091364,2440.706946983968
17,1.608558039492975,3.5652662406450095e-27,35377.37726667434,-17360.044789973108,0.22791250853957074,0.3129149982607376,9735.467254172952,9550.34157147037
18,1.17957208164134,2.4679941068968714e-14,20963.218845663287,-10485.771271379976,0.1103474956023564,0.2474208129331333,3432.4201442639237,3308.5115042860048
19,1.3064253062284932,2.9406363885611385e-19,25019.629001804216,-12450.981689929726,0.1240521008660432,0.23489339850281243,4273.393777360168,4140.353357862311
20,0.8614352522622161,2.1216686474420734e-16,32110.9437695025,-16257.832273155413,0.07848374340824144,0.2656090866630545,4416.659550197602,4095.9309521064333
21,0.7093627643674228,7.814733191129808e-14,38715.210239156826,-19395.495004011354,0.11343979887954665,0.45867504265284537,8338.938922247144,7374.925270720642
22,0.8604900160737892,1.9308727099687233e-16,33855.2839007882,-16611.53859960341,0.17884415489813923,0.6087519501472053,10644.284240316925,9878.705642103481
23,1.1168573322048252,1.5649860494065353e-18,11871.722587016282,-5842.824357116572,0.12263534152092816,0.2978259946650782,2231.950302856718,2141.620671112377
