Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
1,1.398515835822271,0.47863577844027055,0.6397747721480286,-0.19999999999999998,0.11098406296385586,0.11197027889632585,0.0558050663635474,0.050939683729755186
2,1.2837793352585056,0.533233864071029,0.6439753348437789,-0.19999999999999998,0.10481082565471764,0.11942716516050936,0.05635642619766695,0.05079228169121789
3,1.1005541617390782,0.6199070359569818,0.6392710960990347,-0.19999999999999998,0.09333043966886871,0.12734515010641465,0.05576533193100575,0.048369255416066494
4,1.1796888652270157,0.5637850219728788,0.6545837527493474,-0.19999999999999998,0.12053255348789926,0.15940770743483745,0.07156850453801573,0.06405071690594374
5,1.105937549746281,0.5727748490617476,0.620192047818125,-0.1999999999999948,0.11149289114268394,0.15784222936035322,0.06630291922478866,0.058145353120472615
6,1.3063541868945037,0.4804436083004643,0.6302884268801785,-0.19999999999999998,0.13317244516288626,0.15722547713630491,0.07218025361538445,0.06606873967725134
7,1.0865192550880283,0.5286532254357564,0.5945100545084576,-0.19999999999999044,0.11534252653787813,0.17548996260813887,0.06911009342898633,0.06101201079003834
8,1.027547065668352,0.7219708671198681,0.6579203029478795,-0.19999999999999954,0.08657726021866866,0.12211871475250206,0.054379968665999485,0.0458144832743229
9,1.071304752447677,0.6786204158573819,0.6580487597761385,-0.19999999999999998,0.09376254736133868,0.13304257329836347,0.058019698940144464,0.05025734122088623
10,1.2992753671303545,0.510559822344978,0.649413644429637,-0.19999999999999998,0.14509931085158617,0.16920194059520377,0.07967987467425883,0.0726715761702219
11,1.1282531953776032,0.7386441156910705,0.6731934565427172,-0.19999999999999998,0.06676570930838412,0.08033508317138606,0.03805977829012719,0.03255922389314988
12,1.1020637958813353,0.6071115178052383,0.624758920529099,-0.19999999999999998,0.09133945510153665,0.1294611326011567,0.054116794339177605,0.04749137760460371
13,0.9737502698137906,0.7623653918801784,0.6273547756445483,-0.19999999999999998,0.045667499146503504,0.06891224995862545,0.02859370499903882,0.02377936836857216
14,1.1320186251455029,0.7383852141129363,0.7040600928697988,-0.1999999999999975,0.081983411514623,0.1015000032609008,0.04904384387669658,0.04245628162843666
15,0.986775025814143,0.8731635300798845,0.6928199804985052,-0.19999999999999998,0.06961449574162015,0.08791794857313297,0.044519547678908096,0.03540242717823627
16,1.2668110813483877,0.8115690728271907,0.7281345953216938,-0.19999999999999168,0.04461321219816479,0.03976438130335705,0.022445066977354187,0.019019581501269388
17,1.1443175020781893,0.673215305652743,0.7139692662322614,-0.19999999999999998,0.1287159698424734,0.1664248409022331,0.08053083335341307,0.07083491471748933
18,1.0196088511710455,0.8252925701805133,0.6543795693651097,-0.19999999999999998,0.06873560635180079,0.0913879319355561,0.04114209444731281,0.034023841980270884
19,1.0464919272081106,0.6436867808855101,0.6128217287736119,-0.19999999999999998,0.08634043465402719,0.12815423465803058,0.051876415583395306,0.044745905513838155
20,1.8186312723598204,0.49372376752270186,0.7401413308188056,-0.19999999999999998,0.19742154665710335,0.12040825913558571,0.08175221395496514,0.07658860091795301
21,0.8352117486318098,1.0736611602670334,0.740558261153865,-0.19999999999999998,0.1285338604498457,0.13759696543344876,0.0999579266271402,0.06727635219832326
22,0.9598593813583963,1.0404042894156522,0.7860678656111104,-0.19999999999999998,0.11078055423985922,0.12036179738866207,0.07744677457348272,0.05757211417168523
23,1.3252195587996765,0.6099447991714084,0.6818064623338537,-0.19999999999999998,0.11474480750397296,0.11904943197124457,0.0597359576624188,0.05390857145699299
24,2.5798509566149637,0.3395558027563795,0.7417475970964877,-0.19999999999999998,0.34764993730644966,0.12071441902495174,0.10952021133955583,0.1062043706894286
25,1.0582258282038806,0.9605219339141853,0.7390232861883166,-0.19999999999999998,0.04839883658644609,0.05319054517387742,0.029093455288226554,0.02332390360970218
26,1.3987242600883842,0.5702238644558132,0.7173485529072305,-0.19999999999999998,0.12930954446876053,0.12766294811695633,0.06876037189652845,0.06308642888631798
27,1.323986796811884,0.559516203504954,0.7040328219172126,-0.19999999999999998,0.15178802630447108,0.1636365635312725,0.08490569973851558,0.07701284773754734
28,0.9663510213556064,0.7868213063140828,0.6623654328476029,-0.19999999999999998,0.08919817066983254,0.13778384732202115,0.05913142932692483,0.04936200779370689
29,0.8799901079873919,1.0873516401195094,0.6855150545727823,-0.19999999999999007,0.058310265333286086,0.07683021173879384,0.0393151763920836,0.029398613849529374
30,1.596900543094618,0.5465238245510023,0.7130599379838971,-0.19999999999999998,0.10154785604787513,0.07552231864211657,0.04554401142115311,0.04179157382971708
31,1.2271333230991603,1.365162919410563,0.698873597791228,-0.11165722822840195,0.045225729168617376,0.02522437198802038,0.017286927865617797,0.01188212088451891
32,0.9791518824431983,0.6811788902001545,0.6707847723990399,-0.19999999999999998,0.12773365918142573,0.21615946242497272,0.08984814877537213,0.07743058760295447
33,2.6077173140185828,0.3966755473486299,0.7146230349953294,-0.19999999999999998,0.21694862283417485,0.0664745708104798,0.058440906871623434,0.05593702248163853
34,1.3103940391787865,0.7071512601646195,0.7837894879244712,-0.19999999999999998,0.1710841057215183,0.12433800796711345,0.09187851010926111,0.07361875399847742
35,1.019347662298729,0.7812378577090616,0.6589681926945671,-0.19999999999999998,0.05046998552280792,0.07259931058308103,0.0313724024204259,0.02656321364020549
36,0.6770661989463252,1.5408982723680646,0.8199489485026971,-0.19999999999999998,0.05716030422701815,0.05817193539148504,0.059135976732071695,0.033786326726666364
37,0.9668239600471361,0.8376385253903572,0.6664278684289576,-0.19999999999999998,0.06726038429366206,0.09843079198600567,0.043585645767582115,0.035863768088857786
38,1.0684267044965003,0.7580099351889766,0.6832491573599458,-0.19999999999999998,0.09146456210838523,0.12429275359613695,0.05644925780762855,0.04842335940382357
39,1.1013016248392693,0.7012838693571721,0.7050873852274022,-0.19999999999999998,0.09884069192999072,0.13443826156076571,0.0629091935752549,0.05489939549497376
40,0.9280704985794559,0.9782252560718273,0.7935688694628903,-0.19999999999999998,0.09146809445017574,0.11942110732281541,0.06938174960835694,0.05359687121909851
41,1.3478601386136217,0.7530524197057384,0.7548190048742144,-0.19999999999999998,0.16020145114219791,0.1404672641926565,0.08062705972600298,0.07086481882995495
42,0.9506606987799677,0.8122846334917224,0.7203696166210739,-0.19999999999999998,0.10598399836470594,0.16512710231369082,0.07697332751342378,0.0637923497910702
43,1.879283082512054,0.4215984368015745,0.698438561912482,-0.19999999999999998,0.20652512338863005,0.13145182869687405,0.0851807607303901,0.08143278541026286
44,1.7637222642293346,0.5242884187985529,0.6798386647271281,-0.19999999999999998,0.1906755687128442,0.12357962101568647,0.07368380965866361,0.06928439358599839
45,1.230815312710734,0.5017832504957113,0.6315255455866918,-0.19999999999999998,0.1421751666380704,0.19241897560690002,0.08265378902542701,0.07599970834695635
46,1.1944952165221265,0.7360334702570378,0.714560154460042,-0.19999999999999998,0.11807491080572445,0.12711750044420903,0.06639173209914462,0.057035384579990994
47,1.372942313171436,0.8335904089045395,0.8355211937047995,-0.19999999999999998,0.04775891665217906,0.038731661217608813,0.024517764210039625,0.021478770105180272
48,1.4910155171769308,0.764263787079336,0.8152285298947464,-0.19999999999999976,0.09008245938403701,0.0663028145590244,0.042233516939313466,0.03790647206050633
49,1.0132933152819943,1.0334554568970549,0.8199585073427149,-0.19999999999999998,0.08127663421818025,0.09367762434208361,0.055674987604330685,0.044073540736077416
50,1.6543509081436965,0.5245820359351269,0.7956095005187429,-0.19999999999999998,0.20940211430769426,0.15739273289837008,0.10410417513942712,0.09790370111794072
51,1.4322825644723505,0.6906582419163935,0.7608498741947163,-0.19999999999999446,0.10677099351690385,0.08779576054335875,0.0522820300133511,0.04674728564159016
52,1.044243124712875,1.3441119859048836,0.9644987528430576,-0.19999999999999998,0.03866062099949754,0.027427983091875604,0.026566681257115417,0.017805267384495005
53,0.9307279936155273,0.9438922972138497,0.7279410484584737,-0.19999999999999998,0.09254349494764175,0.1352778514037561,0.06563035884966047,0.05278170659169424
54,1.0821429429971334,1.1862960805394944,0.8863768610095107,-0.19999999999999998,0.04538221489759415,0.038775965050219394,0.028575038527015116,0.021373611832331992
55,1.3861666478960717,0.760110495366792,0.7772074458602374,-0.19999999999999998,0.05796574606083094,0.04987143520016145,0.028938832990259865,0.025866168836517347
56,0.6668963696924698,1.4107937589943718,0.71873081257263,-0.19999999999999785,0.046013294457458186,0.06731520697176101,0.04286795651502028,0.027569459492351518
57,2.1455404468266708,0.3913864550411403,0.6527956589981317,-0.19999999999999998,0.19888727625093627,0.09643988341107317,0.06600643012957928,0.06320259640820394
58,0.8062578166341705,1.132887317367156,0.8052796308202397,-0.19999999999999998,0.10104824103012364,0.1474346593402329,0.08831301486800563,0.06432554572500268
59,0.8850272213162079,1.1880923973071056,0.8486912954630184,-0.19999999999999998,0.057512066500402706,0.07017501733081653,0.04605788140766633,0.033709390317803845
60,1.388685897563975,0.7919801396211456,0.7684309768414233,-0.19999999999999998,0.08923271343307822,0.07226468159022709,0.042616374885801896,0.03748259785466055
61,1.129961236282572,1.130906043402956,0.8623159367547648,-0.19999999999999998,0.035490326900098984,0.03171176751748227,0.020896243214908655,0.01648829075089562
