Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
1,1.6928473370488786,2.2572473646652322,0.23831331492856905,-0.006989738498190556,0.01761274996156864,0.008305927772169977,0.0017116691709032506,0.00034771345219535477
2,1.798787609325679,1.9126205404675918,0.2732674377764961,-0.011787972905494408,0.032426904571716444,0.009811014827204681,0.0025692383707406996,0.0009525873486655882
3,2.3614749863831466,2.2561993086010994,0.2927282399742179,-0.0015688700395935715,0.054165025150695274,0.012190228106995856,0.0032096178357952244,0.0007954816037419872
4,1.316921943341729,2.0106121850500616,0.3611904970657714,-0.030913331940288398,0.044493776798289426,0.02210155449614787,0.007803628735722178,0.0029221583728301914
5,1.5386388254255412,2.493256616222779,0.24803381502086333,-0.006773961616766766,0.030830306448060358,0.019897254444248277,0.0038888813619502023,0.0006371730820317201
6,1.0956737831823278,2.0111876405066282,0.4133297949310317,-0.04972391737908786,0.043564841415958476,0.028876954663107884,0.012042154690659487,0.004440871542649769
7,1.6861562701861892,2.4333208150895103,0.20124760193000882,-0.004547152434319325,0.028673598116455177,0.014708019417750719,0.002435943433981754,0.0004287358268242897
8,1.0754475991703591,2.4675231803414337,0.3015839260707054,-0.0254705070994668,0.04602250960040899,0.050862759108848604,0.011081696784739173,0.002454397329141433
9,1.7097695970378328,2.414698523295279,0.38073274226311155,-0.008914009553338263,0.04837018581930278,0.021170026913583967,0.00653972960217298,0.0014693010153912281
10,1.3214872310050005,3.242185399367745,0.2808707877787091,-0.005155280628962803,0.043987405836720055,0.06946448464404244,0.013499614384086723,0.0007049725804029553
11,2.3241500858571684,2.1281797148597765,0.31071625421414,-0.006661872864447569,0.07237894482467616,0.015287243464921907,0.004072909485592439,0.0013289639856001768
12,0.7086551113843996,2.0012982739544207,0.4147439608095438,-0.09027255587233216,0.08897825897392034,0.09663862819728224,0.04454531563027922,0.018569207105810656
13,1.902792616427619,2.4108861677690583,0.2336263150685367,-0.003614794937057349,0.032265770274948785,0.011621778728115961,0.0022606368233756627,0.0004943377606842452
14,1.333486432224564,2.3262734413967077,0.37679907487639597,-0.022768472033861994,0.0394023383738128,0.024192952242880813,0.0074354889185798915,0.0020766864404853087
15,1.547847287129742,1.6343239952320918,0.2714411759480882,-0.026835182312530678,0.07018164337110928,0.022851984344906113,0.006823578541259823,0.0036002761713638345
16,1.101768680046112,3.5297710015836437,0.5269424826095032,-0.01385745748096177,0.060814598264672365,0.16128387594015062,0.05197170874123855,0.002142200486931604
17,1.8289543163940536,2.269410839330978,0.3262541163804913,-0.00891906803475115,0.0317679800685286,0.010833121836534574,0.0029284263621010887,0.0008478306519161973
18,1.4882743082639294,2.4926702305011346,0.3124901931516872,-0.010950620834013372,0.04203293469182076,0.02555214938272921,0.006191201842356512,0.0012601959645564226
19,2.1117599683361665,2.3334436432772994,0.21205102805132853,-0.003556858922175901,0.05008294042362045,0.014276602128597342,0.0026108933132943054,0.0006130059707893554
20,2.146794526751892,2.238546710130175,0.3688924377447021,-0.006449259698605377,0.03465904056175088,0.00928433982280286,0.0030163963989747024,0.0007611480936774573
21,1.3789562884658937,3.313323369459222,0.6163040352756917,-0.008155627688295683,0.08801504709247403,0.17761295344942646,0.08431242273615228,0.002122779030722901
22,1.6224096786561553,2.49437074117767,0.26485609593665604,-0.007810137032512776,0.042780257629631,0.024076986826094708,0.0051037577342815995,0.000873097242509451
23,2.313240276309828,1.9989056679876251,0.3472629623568351,-0.009330274050540262,0.062203534450844485,0.012583273547279481,0.003699099518836167,0.0014317253163181052
24,1.8775505628375138,2.528788567683627,0.2847992953755342,-0.0056065358023091195,0.0548553810441439,0.02125322363184989,0.004921862634012794,0.000975410775234606
25,2.06977491889818,1.996019071349833,0.3292901349062819,-0.011346165349160482,0.06090771369412452,0.014741778884120055,0.004135405096443268,0.0016406035612262291
26,2.413025650233254,2.1724565100514694,0.3747941682112322,-0.006368402733286207,0.06743379118659515,0.013225383074764466,0.004096665813513646,0.0014006286171717838
27,2.0024142015110273,2.268707394001325,0.27489831657791247,-0.0048499955687182255,0.03432421976166505,0.01040675038685589,0.0024514816745060063,0.0006315799934479596
28,1.1601135480414106,2.2892311629252515,0.34356924293101426,-0.030319915305324865,0.05388275187263234,0.039709715709155276,0.011398148206291564,0.0034754546463396964
29,1.5879913248983915,2.5040818782549374,0.3347842305283148,-0.012709959104823075,0.07315186651536637,0.0377213901481077,0.009838455838780413,0.002130182947187487
30,2.2436344207615124,2.455723539698544,0.16320861965033934,-0.0018559248672600473,0.07563645194723026,0.02201986650041312,0.0032770392979577976,0.0005567077479058277
31,6.604631071373111,2.305436742443168,0.5018070163244137,0.008595034079612346,0.38834137758782716,0.010378493530471577,0.005663844574383538,0.0023945163471125242
32,1.0419231111712475,2.674148714996402,0.4207267919332243,-0.030732884813455093,0.03795543578020321,0.04742982363471137,0.013314131528147248,0.002717946004384073
33,3.853705106657283,1.3794049038071807,0.4098348761550497,-0.011396172311043831,0.2237634929716381,0.01657611765762388,0.006600467927684857,0.0038136569777898013
34,2.079873051917102,1.6044557706625187,0.23807547913397148,-0.01026229974370549,0.039204964184252844,0.008975934868323475,0.002527632921227228,0.0008832901922186271
35,3.08174380761264,2.3414704798470405,0.14416653176414582,-0.0010563957300994795,0.09478982184758453,0.011886406571691512,0.0014640317290265685,0.0004834456974782393
36,1.7643969134561206,2.678030183556723,0.47077994197300954,-0.0064817936115508555,0.03440966555097078,0.01741021807682926,0.006538069226360522,0.0009657674169078073
37,1.6755589754475408,2.5607302722888896,0.2645172442767531,-0.007504356189856043,0.0688076350552661,0.033798187536899525,0.006983810098476159,0.0013526051047250288
38,1.5447465105885496,2.0607926519069983,0.4725929114304204,-0.027870052124063602,0.04016945920117966,0.015653458862032343,0.006620781162832405,0.002564530128194362
39,2.107266779505668,1.7796346238169674,0.4430805408891241,-0.020227519904007805,0.05778682008252493,0.01273841417987644,0.0048594399604539144,0.00244879292878649
40,2.1369269614224358,2.2054553708920075,0.2516993588715312,-0.005302545143916749,0.0648918719291439,0.016414972362254462,0.003502322872846996,0.001055353630354979
41,0.9248281736965628,3.384839279504877,0.3884489489543887,-0.0211952557379753,0.052642042310910894,0.14887055311339747,0.030636588494778853,0.0024907978229313163
42,1.6525812636433532,2.1077587391328514,0.326173471963388,-0.01690301669810693,0.0665170599668308,0.02416058511454053,0.006833765549286067,0.0024718291584790836
