Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
1,1.5336612683278468,1.874069295518619,0.41476094462727847,-0.030007355128706243,0.03362438609691502,0.01301245447197464,0.005564208719996271,0.0020260267286728033
2,1.6369201334033203,1.9196920153334027,0.39845584244505305,-0.023730870483742658,0.03155389572026382,0.011078161384695945,0.00432489647528651,0.0016012308805303061
3,1.5923191321979848,2.1230796807389547,0.3829647821090735,-0.01734383360218133,0.023971961717492555,0.010310801046720185,0.0035344516058521186,0.0010216723395722936
4,1.539495770950448,2.1608777671137185,0.41544141756635244,-0.02024789405894882,0.027857221342058112,0.012435102577577739,0.004531003698898931,0.0013725915817587064
5,1.70529399355976,2.157800901954753,0.3394138714860654,-0.013028854712716507,0.026656780443235824,0.010535057069481995,0.003155259674697017,0.000855041649856606
6,1.6305459423864699,2.1305819410420597,0.4035510114360402,-0.016963943640946597,0.019861354402412972,0.00813687597668916,0.0029213362754090307,0.0008566433204809979
7,1.5122186435436424,2.1938527982135487,0.36081650023501977,-0.017719196750920832,0.027152143263198886,0.013689247651031387,0.004284686958554702,0.0011191129360264818
8,1.6856310249425301,2.1830597213237186,0.3680728080339026,-0.01411441245594513,0.028373752168060994,0.011214010720346284,0.0035856321111069882,0.0010147840180123704
9,1.7733214110681654,2.2402678029629346,0.38698870066526403,-0.011719404083901567,0.026393879520122156,0.009526563172775875,0.0031049324618600475,0.0008884460140766852
10,2.1508567947508586,2.116207882252639,0.34378517284127846,-0.007856190906470117,0.057599162796870856,0.01413183031117417,0.004248463806231117,0.0013233611943984508
11,1.7770487858263937,2.218088940892119,0.38511200015201225,-0.012139999182067356,0.03505224038451139,0.012688741868918222,0.004173855866928059,0.0011721033673756385
12,1.351827500808662,2.332849670834085,0.3950432837768381,-0.021447246130263505,0.030595562894291356,0.02005236245851377,0.0064021182994203635,0.0015592073006098868
13,1.3629480422802949,2.304733383423248,0.3552138314654781,-0.01916838444246374,0.019235832693848855,0.01177482649686209,0.0034362633295203266,0.0009044637800779071
14,1.5105734811920768,2.34267143594043,0.40919810962473685,-0.017359942896303545,0.0291828724436614,0.014702079598034308,0.004884925588392169,0.0013013793098761782
