Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
1,0.6383445019702209,0.8659720816781051,0.7524677253682956,-0.20277007681615292,0.015873932917546064,0.03413958676984874,0.018090308011961473,0.012793674962616736
2,0.6689609539960761,1.2522481805750336,0.6699516793419532,-0.1369612530713817,0.010940036264127298,0.01422624456564242,0.009766466932906998,0.0061096393333470505
3,0.45293659235900446,1.1923919376369807,0.8882460142221636,-0.26756311198114774,0.015759841142096467,0.03648511567812793,0.029420976820456336,0.017795684856517426
4,0.48111643110835045,0.9657474736825596,0.8882485913096893,-0.2607113923635842,0.008655182283502375,0.027011810602639307,0.01557568671045001,0.010438536054169249
5,0.6099655531520511,1.5877769756682765,0.6202093081850464,-0.09110091098198313,0.009326943489456396,0.009067973906520099,0.008390896404477273,0.004417533519560252
6,0.6387401541050993,1.259367182847148,0.6962058084653637,-0.1417289927062344,0.008889262803868503,0.012685833068112466,0.008706128857029545,0.00545716111679512
7,0.5228962297511979,1.6730663897036957,0.7403597859193232,-0.16547089062079923,0.010591428109395043,0.011902902367498094,0.013680007615544637,0.006858930296369605
8,0.7822090553179823,1.9420617989301079,0.5653741406720799,-0.03356070085385296,0.010515129817346931,0.009520856781811877,0.006281022525085882,0.002681022832500308
9,0.6582883753559506,1.9562201531545371,0.654203051602937,-0.08012763504918013,0.0039021903651094594,0.004173821404215616,0.0033328462145757794,0.0014937167354801095
10,0.21731685915578233,-0.8011464959974247,1.991757488809067,-0.9999999893159384,0.03201128280731443,0.7465617993575302,0.33125335715791426,0.24742335420282474
11,0.6207214909750739,2.0410001110289513,0.7094035211849107,-0.07426239536458377,0.0029540869595815647,0.0038757157170956234,0.002987383879420511,0.0012508440336991677
12,0.5097624737805397,1.5843570450588562,0.7768935630435494,-0.18605196330822782,0.005135094529831564,0.006507132029832406,0.0071418202169409055,0.0038295159637954483
13,0.6703729174215797,1.9761744433574029,0.5497288879917999,-0.06016506086359415,0.004411441886501985,0.004817832277252694,0.003113221454811945,0.0013557518862104367
14,0.6411922187489582,1.5452073271714337,0.7331528931588265,-0.11901799516252293,0.010665590460713546,0.012157373265053019,0.010539731931673313,0.006084748133740277
15,0.7764750165735197,2.011765127060224,0.6244029053348545,-0.033658855760497326,0.0027845423959764267,0.0028440210702649323,0.0018851824246365898,0.0007492481495015037
16,0.6873720969582878,1.6795675253800713,0.6741738291322497,-0.050464124426433436,0.003961038050147054,0.0034195389946412593,0.003304282734937834,0.0017017684683076934
17,0.5211509558269001,1.657608399327624,0.9484997929091474,-0.21638234530445744,0.010980091834954455,0.014037969493322,0.018015797844856768,0.009674755440610429
18,0.666755159585821,1.9871476133890225,0.6402287079011859,-0.09074611633125773,0.011771668405734249,0.01288867849646363,0.009703497791844175,0.004253438624864236
19,0.625095547379638,2.3094849118336938,0.5750899221966277,-0.039856362516567094,0.0025545629607319547,0.004911050274443855,0.0021720178441885585,0.0007390351366591745
20,0.3250757874237047,-1.5859495583191814,1.8554683647911436,-0.9999999999936108,0.02126101510460191,0.44876049637051335,0.18579839732032993,0.1652463514081271
21,0.5905880187931447,2.470122799514061,0.736508752103669,-0.04268214890565648,0.003156613942166089,0.009465889744214476,0.004038319769561166,0.0010813070078499632
22,0.4077673671401223,1.2852480014640895,0.9544236009168688,-0.20830810471252723,0.015069221915229532,0.03547480410159691,0.033672867002861824,0.019593971112318746
23,1.0000436131692845,1.7812155700331809,0.522197601531472,0.018739093977666155,0.014815831457360214,0.00868800541061499,0.005582914588449122,0.0027708041889995334
24,0.4375350650082225,-1.7537686973453972,1.7240214832422287,-0.9999999999970138,0.051718753895011745,0.9225603895335982,0.4381122518207935,0.41690699132791137
25,0.9560216411646351,1.820305951099521,0.5604895613890876,-0.0085129191055527,0.007809095960206727,0.004903269035563135,0.0033586333883090943,0.0016504045761587957
26,0.8751193680035126,1.6692323217367255,0.5944110152210038,-0.00958437476168779,0.008218686737036454,0.005764881989335262,0.004275535830627764,0.002356366581094231
27,0.621432326829389,1.94429787657688,0.7183816311723982,-0.04414219695856293,0.0046375236422114595,0.0054083685705890545,0.0047204352290940235,0.002082934850686399
28,0.670891194765676,2.214009129740779,0.6498202126508914,-0.0672950153654445,0.009112677248920217,0.012826801428255137,0.007685237335102948,0.0029415389149429682
29,0.7290192148832833,2.351324115013325,0.6238846295723924,-0.06292558334800367,0.0056232260975426105,0.008383112679523949,0.004184439795075909,0.0014159772212458863
30,0.9269843268692899,1.015713827453815,0.6752290335439795,-0.07741806940579704,0.006115801813027145,0.006914401225302871,0.0038745204993840356,0.0028469415038800405
31,0.9211713149120951,1.86075867289936,0.6274317662055342,-0.026606081687378616,0.006190408968437033,0.004136751264132312,0.0031382909930965635,0.0015153109916449259
32,0.5295826072589515,2.7356938042853813,0.86949062520366,-0.10840820474015969,0.014830359349387775,0.04949066037750282,0.02403431718691514,0.007015004953052813
33,0.9068248777750857,0.26094247388271197,0.8065033259812071,-0.2037742949180047,0.00465348583909077,0.011458251551953805,0.00525858548269541,0.004697845363360582
