Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
1,0.5514900033944821,0.7898556291140331,0.5635424512631951,-0.10522372072011224,0.014057043751977338,0.039522264920599424,0.014240921013690745,0.009991529518280176
2,0.5395941990324892,0.6034933516911845,0.6157491133678493,-0.12672979941723622,0.02067137635414525,0.07614681161076534,0.024540960471633,0.018345130658936476
3,0.683961732787418,1.3272662735836207,0.5190720976612021,0.002625100709930626,0.00423114083288144,0.004889713311147308,0.002816746285347143,0.0017162628569482956
4,0.4965308048102169,0.49390807939984827,0.7149280906147654,-0.17504776873180317,0.008292955250670097,0.03906792266379191,0.012793096022180454,0.009769832287226736
5,0.5058460347811865,1.447043224809254,0.5406122891498968,-0.0525721729446903,0.007785197764403726,0.01075678258366867,0.0076709781852297544,0.004263072432272323
6,0.32805682856774904,-1.8796794696991412,1.3771356203211123,-0.7628920287346366,0.019445345425811097,0.4519169705534829,0.13578484305959426,0.12335502275162291
7,0.5665464156435496,1.7982512468545995,0.4527695363606889,-0.03558243648350353,0.008133820780486781,0.009168037912690661,0.005856578096120649,0.0027440088563715293
8,0.6693323823371043,2.2390623855204934,0.4998477850013778,-0.018986981290656766,0.004673019194739829,0.007591632887940981,0.0031491182252435406,0.0011014663519623117
9,0.6984136430518496,0.5948467679785614,0.5938643558907393,-0.09891925413015987,0.025716492818453777,0.07473934453047223,0.023436837579453102,0.019108258631326876
10,0.6135685675296934,2.237669576146498,0.47186015941022763,0.03029650612869515,0.011293600833446703,0.020426820001244753,0.007971055523072167,0.0028611346925249714
11,0.8685167086986726,1.229833743898879,0.4465383786917914,0.0577696538265926,0.011855624773799025,0.012406078793633108,0.00506498187843375,0.0034608463556363637
12,0.2771252059058321,-3.056215040289641,1.5662365469221695,-0.9999999765168164,0.04468866406601196,1.7197684405370144,0.48449704719507347,0.4512960348054472
13,0.2772528383100467,-2.875758382762937,1.6490605237654383,-0.9999999999999999,0.048920726811501725,1.8020181352890863,0.5376980393080895,0.497824391557877
14,0.8325703240227288,1.5035473747117367,0.5337536173172787,-0.02407400558301322,0.026549652638937306,0.02278928412734847,0.013544930945880343,0.00823064404145268
15,0.5013753459224428,1.5583388608450248,0.4834331031259488,-0.004212163689568858,0.012181260633556904,0.015452867994252141,0.010781527940909199,0.005767299443561908
16,0.8101511854917168,0.893972152955673,0.5297542420686685,0.020189934473792064,0.014636704452727488,0.024769099337445998,0.009000459701288703,0.006879000337667668
17,0.762559180840238,1.6283483765202078,0.48389101917719013,0.008095480203243707,0.004251080380698385,0.003601000221837934,0.0021932996042535167,0.0012281262117397396
18,0.7431139271526893,1.3301421787156134,0.5232776363976962,-0.02678299909222836,0.005681272486738472,0.00674173880204913,0.003415153407479597,0.0021966601630444113
19,0.5241812546796908,2.4536425032294873,0.6206036542068513,-0.009710230132226674,0.01157544286859843,0.032561635759500454,0.013260575170895517,0.004364801907867164
20,0.7979094101131011,0.04929163196578123,0.7816422313959815,-0.22614683804946756,0.0295561325753904,0.10639606825833657,0.0410703191762551,0.03742179236459526
21,0.5113006079963012,1.9455602163009214,0.6068256389389599,0.10895818107493917,0.0063948010949708076,0.011528059224264996,0.007166649030930379,0.002919568116329212
22,0.6062328325739145,1.3433330617715258,0.6650905407461182,0.04373556301808751,0.018988092585150704,0.025818741668366698,0.018717971375156527,0.011243410204095803
23,0.49046454481063645,-1.7321160625029588,1.3930836056074447,-0.8636547746386213,0.02513256001061867,0.40293587389629254,0.17268657651565467,0.16638228229501123
24,0.8570683671203637,1.7590335582258902,0.47556244851039564,0.07381835348642544,0.0238147514847403,0.016665993892962656,0.010216266273389327,0.0052456522058009205
25,0.6982014316069196,-1.6571157399758623,1.5541815779936938,-0.9999999999999999,0.02850879527223523,0.344354974153635,0.24314416391119592,0.24025793012112356
26,0.5931372373053231,-0.5323839199043161,1.0860630753105716,-0.4969365045901894,0.02747378814851993,0.2112835076731667,0.08486858772529972,0.07883878590087653
27,0.46515703745196535,0.2032427884239961,0.7823689492047817,-0.2562329098828255,0.022712196856257527,0.14233976749229788,0.04358447578175368,0.03466639205697569
28,0.4216640040807624,2.1983913390257364,1.0068950876619205,-0.1660855271614639,0.033546997140952405,0.07831043517233172,0.07558289880185855,0.03199248916763104
29,1.1465541926001448,1.512247887843949,0.42511987145807734,0.018893249474619133,0.01121116544837715,0.0061789172183801455,0.0027965632068610692,0.0017568593510520257
30,0.41958703345776116,0.7846819694100923,0.5811108674187951,-0.10689529687376642,0.0077386120905041855,0.03167839212590183,0.010723489428039152,0.007188428357981134
31,0.4674939211262562,-2.8892551973508707,1.709846343997991,-0.9999999999999979,0.016192676737558618,0.4276658977702043,0.22518985279285772,0.22190699077297246
32,0.24339867171826957,-2.389456351362042,1.731361110996224,-0.9999999999999782,0.03806756581809097,1.3953265059195519,0.410467953205119,0.3625549239929609
33,0.7452821730507929,-1.8240119413565181,1.5564841610448832,-0.9999999986071877,0.033419142750743175,0.4074007908913218,0.3169600429444091,0.3142040997292158
34,0.9619212098208192,1.1461907273998249,0.38311084168250026,0.1739791477843724,0.007611267600927137,0.004305513135516668,0.00254486286498819,0.0015050192706844837
35,0.4702462110396444,0.06220106841416722,0.4104632829548018,-0.13211875069490184,0.016988716826352092,0.12151283606254233,0.017910407833126654,0.014847401979984428
36,0.7755631391979338,0.3650094341171953,0.8833214069563186,-0.29323827454521323,0.05724462132389842,0.17439414224569993,0.0783539004145916,0.068370992294705
37,0.7628280546621642,2.1532958571304643,0.5237340725070625,-0.016138237674415794,0.003849578980010398,0.0042999131280186415,0.0021945206879697534,0.0008550499713309793
38,0.32535294004268855,-1.5368255157095378,1.8188506502799593,-0.9999999999999771,0.026042715400552273,0.562445894746433,0.22584258198182705,0.2019791587314092
39,0.7026109319976347,-1.2834966732573208,1.557669393830251,-0.9999999999998141,0.05264541752310473,0.5196953703855484,0.3571099383908464,0.3505354733749412
40,0.4959492024093037,0.15041780612439662,0.7667203470877814,-0.28194487531206197,0.018647260182747424,0.11487011465027497,0.03405634913898873,0.02793688851010304
41,0.754540229382359,2.3543049954547666,0.4677747430293787,0.1125268688014089,0.011267344931922375,0.01664025101606657,0.006097534373120836,0.001982373887256853
42,0.33255420638202265,3.460390755610321,1.3228879062422327,-0.17389353856560166,0.07647489628098798,0.7522107227414184,0.33298976280249304,0.08586383969712075
43,0.38384838877192584,-1.6322969168411776,1.2463992804180677,-0.5191185596268008,0.018155404060336815,0.3507658687738043,0.10769067222233068,0.10008617383588213
44,1.0960811203040035,3.344777554724447,0.49596056103953373,0.019776424877665635,0.06087810274496994,0.12215498817238887,0.03583833797051447,0.002672984825283391
45,0.2314945802728369,8.139003590018389,1.9999999999999996,-0.20990303994655196,0.07053380166161562,4.46888818120199,1.3303336246648185,0.07072083661430331
46,0.7899581768145951,-1.2030083489726844,1.512087223958127,-0.999999999999965,0.06142232676980609,0.5122791741936109,0.38717953272452094,0.38127857858683206
47,1.1620811697146085,0.7719120167113585,0.6895336031989991,0.03067290743921173,0.020244456207316647,0.024086323723637296,0.0113132407667296,0.009881967853168748
48,0.6323816580033675,0.6353629719350877,0.8768095341044511,-0.11766716138489103,0.017212069832893036,0.05990878519926274,0.025544218641135954,0.020700823151740242
49,1.2508802666178604,1.915366360858273,0.4869356963051104,0.1412675685128354,0.029477701230422797,0.013991478496936053,0.006956909215831203,0.00330490989115149
50,0.7978672000852337,1.9362862020331641,0.5607405407732671,0.0033698668008139017,0.004786164461983417,0.0038964851879303925,0.0026254674938856306,0.0012704878143414066
51,0.664571911275324,-1.5672852848590144,1.5394639667467602,-0.9999999999999999,0.03804686880567927,0.45008646014770526,0.2940740895594054,0.28927374528338384
52,1.9999999999999976,1.4080113155424263,0.6232187416688618,0.013657426682108283,0.07690955176764472,0.01785522478035558,0.010824821573792465,0.0071309525236830755
53,0.4072175292613519,-1.8568276010855016,1.7512189451061637,-0.9999999999999977,0.04951944182279243,0.9953489119522362,0.44779291993151404,0.42489342625774895
54,0.37365379722198266,5.441267014760718,1.9999999999971538,-0.13051482369201842,0.12275253343215733,2.564601744175888,1.2252728466816318,0.08499915884427944
55,0.9041018330605892,-1.1187138878293763,1.6049905776729336,-0.9999999999999999,0.05849987515596525,0.432167590190913,0.4031282957021876,0.3995249264315525
56,0.9798599814268281,1.7951899389709534,0.4733438413239682,-0.010983683763314836,0.02475399385541856,0.015629975334639692,0.008386344088610396,0.0045365234046959675
57,0.29464238722855823,-4.43692151066389,1.4633763231823702,-0.9923303727941585,0.02865927054200184,1.5022687413064868,0.4188759204934067,0.4072565155228139
58,0.8127838013074961,1.371401647323137,0.6267274733942313,-0.006523282049567878,0.011006143507629945,0.011937001980606656,0.0069590278421873,0.0045873275239439555
59,1.8767743430336,1.5489416020473092,0.706169471409242,0.019772192682088772,0.06135947213113846,0.015986641429358607,0.010296347618865453,0.006486032932528293
60,1.684840220551667,1.575519297766972,0.6301774269168342,0.02089838400591679,0.05506432670841351,0.016776747273704918,0.010131671492315853,0.006206152183678801
61,1.0210941115860102,-0.6352977102437201,1.647432514654002,-0.9999999999999999,0.047751720799876746,0.22249979579808207,0.22729807747453432,0.22422155668771754
62,0.5698331316175238,0.9957815615247974,0.6709369335082169,-0.048173935995158616,0.050434948768790816,0.12346108319852403,0.0568085873869915,0.039060880051492795
63,1.3175788019188674,1.0808523390194196,0.4534337284674212,0.08356538503120026,0.022470456923471948,0.015642030724206404,0.005635643576796232,0.004590315226647627
64,0.9108516573974761,1.2839569506284025,0.5340015115805794,0.12201608713557698,0.010428770354459129,0.0112471167461373,0.004898907316637148,0.003501639843810621
65,0.8777038955264026,2.449792435258417,0.31611339590064813,0.6871491860371248,0.06473058709854948,0.10600334512835088,0.02244474619312135,0.005074124187899876
66,0.9050998150260288,0.971997738840179,0.16429200526011586,0.740870598648375,0.009439191438120557,0.010825369933339808,0.0015181514969878588,0.0011015556020046377
67,1.16868141651378,0.9897809823420729,0.36712972422488843,0.08969615417700495,0.03520384487076674,0.03209021031622437,0.00902107122021557,0.007320556581008045
68,0.22511392027799115,-4.156301002278839,1.7780787486818097,-0.9999999999999998,0.06047500737501551,3.620243252970174,0.9413003559693996,0.8793013808353468
69,1.218678557538117,1.543274923730114,0.7708530276529122,-0.0037735366318586575,0.058842007639624515,0.02885149411876649,0.023952116358782062,0.014726239263631377
70,0.7235808242012063,-0.5337573772830193,0.8345659470197518,-0.06437837148813284,0.03702876567893555,0.21646053564163356,0.07984650365507685,0.07553076967319401
71,0.7062082906332694,0.9841513929821483,0.6702166054619271,-0.14489369948065392,0.03712950568691524,0.07900400271426536,0.033238894447454106,0.025005669800845235
72,0.9922361694475728,-0.033586942278585996,0.8090519618705337,-0.11481054888857116,0.04389864144674547,0.1324090795190932,0.06083283718572264,0.05810125963750919
73,0.7967922678115982,-1.390751800254713,1.5361999651041998,-0.9999999999999998,0.06913830023400197,0.6737330638723932,0.5364380683227438,0.5314809464022114
74,0.8163890161127432,2.1756048284084595,0.7759154640910183,-0.02211539267649177,0.02596019928425221,0.02561916022320024,0.01954121408284872,0.007814692176346323
75,0.5818711918360346,-1.4638503224003216,1.5343316063584824,-0.9999999999998554,0.07660137918195123,0.9908480002943942,0.5519620991144998,0.5380606053941933
76,1.6019733363313886,0.24406580198529917,0.7386884933846412,-0.18982522212327785,0.05836125716364985,0.06257137259381462,0.03854913635977218,0.037268432895935996
77,1.1921651967009834,1.3125012014232567,0.7035621660994102,-0.030688949309988885,0.014989213430993539,0.009605318140437162,0.006125378310132803,0.004399870550834338
78,1.2156454911565615,0.6208575246030179,0.6317192901652284,0.017056845844568472,0.020679187035042772,0.025551488462198773,0.011087026261960007,0.009970777147354537
79,0.9560499264199394,2.0409086074661666,0.60184717500282,0.007135180193568031,0.021617467614185756,0.015142223374816095,0.009658635970821092,0.0043956282984067355
80,1.7947390966016905,2.4495343953108444,0.9249654320497221,0.025183852736030948,0.02077288011481645,0.0076812147494521085,0.0055435522543512755,0.0014718596744695421
81,1.7751474818721962,2.43460790503729,0.9206935084914688,0.024484512611682392,0.020059488391138077,0.00751826896632703,0.0054108231696749194,0.001456948395691903
82,1.0604632154448703,1.6449501316142288,1.0074172849252785,-0.08588737147158218,0.012711099339764663,0.007853926033115254,0.00815324008769748,0.004971563696275411
83,0.5203810965150457,-0.6267236114824986,1.9064983933143143,-0.9999999999999999,0.05026238258036583,0.4796041272717132,0.30158302263835735,0.277693082437645
84,1.4537524152086043,-0.40718560187162367,1.7145671349562985,-0.9999999999999999,0.06330586755008503,0.15601216681412824,0.23449188650176314,0.23260318812393868
85,0.8416648553666817,1.1415365914272342,0.7231525643957066,0.09489446153715628,0.03522819303297467,0.04843201014142976,0.026091284705643463,0.019195192750872753
86,1.0480905625349197,1.6654875830457654,0.45576459410796616,0.06296038340283575,0.029445139720620125,0.017183483221708273,0.008824988978214257,0.005071546142772793
87,1.2928355743878106,1.4327625192744504,0.3775627717039986,0.14602554418260894,0.01863484274754715,0.008943033531728112,0.003456810062797205,0.002280663828758213
88,1.9999999999999998,-0.14790846567463178,1.728975127949824,-0.8006655254244959,0.11935916296149178,0.13623493805096068,0.2694060527976214,0.26730600906911267
89,1.390186562157295,1.156601926274011,0.7258042727938514,0.13714469167226684,0.02238703192567465,0.01229171446028209,0.00788407535415356,0.006100734208496922
90,1.390186223501841,1.1566018197167356,0.7258043962981722,0.13714459772029344,0.022387037465846936,0.012291724611506787,0.007884082297714978,0.006100739750092567
91,1.4789201735710509,1.5653325240973013,0.7108050546809923,0.0469734749604696,0.032613935902595474,0.012163685623602241,0.008613823696402402,0.005346938047956131
92,0.9388961538372474,1.2072959424492522,0.8725509504163803,-0.07430131249406452,0.008851423546229463,0.00935491189944628,0.006679363388554755,0.004846900539707914
