Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.5185673437563785,1.0062142951487647,787837.038825829,-172432.10791906237,0.006708047710975303,0.017601802118269706,9805.74622210165,6527.627131024303
10-20,0.4047073566142548,-0.2386732186811753,344892.1748594212,-133041.67353590232,0.013467494514322885,0.12792300269470208,14091.556623961458,11584.571807867856
20-30,0.7722884380436242,0.8989181620890658,102087.14701170899,552.5215208421935,0.01801482055120701,0.03392467387874352,2262.895692573004,1733.862111129877
30-40,0.38424187564157997,-3.2293715244766896,328991.96219363663,-225431.01451547784,0.009847365539237268,0.3191207863980249,26048.705706896446,25428.03552530883
40-50,0.6977559382175851,-0.11062775719539406,96313.43221575856,-31784.358790889008,0.021849619641813672,0.10960190365122278,4550.546718107867,4181.946147835015
50-60,1.053789309441855,1.0788242156061887,46514.85465078935,-600.8143794840149,0.019433059423773397,0.019324809190866578,699.2327838159661,541.3983749793773
60-70,1.0573481789812977,0.7356487989573287,43529.88002543701,4485.732750737009,0.012369547081532428,0.0167506482878027,494.97952350230395,420.24390192549686
70-80,1.104231287879941,0.8820491543939776,33835.545415029075,3215.878370488589,0.0072945320216170695,0.008476633719060935,198.96824566330451,167.42908367076126
80-90,0.6986071260596907,2.0669680333390996,62516.709381936926,-7584.686250551884,0.01278135793312614,0.013651260821440317,953.5828427743683,416.55055246764414
90-100,0.7811577088701726,0.47238164234557417,23099.48092402057,-3309.9529027763956,0.016877714663736252,0.04899431782577411,578.0003053369339,502.0637492027772
