Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.5081901123006266,-16.39696475602042,2251.930260689418,-2251.3923472882593,0.015054315272765429,45.705725848419505,52178.2573927099,52178.256521563984
10-20,0.43406713732470187,-18.810856882518227,2127.3219367822344,-2126.7273330537996,0.007155490273820032,,,
20-30,0.478172858017111,-17.18067813255534,2340.3507528815926,-2339.72701465827,,,,
30-40,0.4743020912960506,-17.10545770966439,2066.823979961998,-2066.212863544889,0.012449531412555118,,,
40-50,0.5864922333906164,-14.24893832868925,2711.027404742534,-2710.4064324819233,0.012956623170205782,,,
50-60,0.3187245884079725,-21.21678379999516,708.987873609801,-708.1830209857093,0.022520301840591332,152.82954182062156,34179.241787811756,34179.225825677175
60-70,1.1901829999813387,1.0806428875091965,0.8184260689468157,-0.17987196620227341,0.05004489392921327,0.03792777631402133,0.026498338657136192,0.020398869771442434
70-80,0.9009715671050553,0.7172814826270173,1.1199164927625225,-0.4115380285824211,0.05067950047665767,0.09706996762920153,0.06435144357987473,0.054660447283423855
80-90,0.37733728575641345,2.6124586457588124,2.045444273781138,-0.5702610984378237,0.037608239608097234,0.15872650270673763,0.1994605317632211,0.07311278947983735
90-100,0.7858904474328028,1.384999270671769,1.173109300084513,-0.3072956342692335,0.04720972695090108,0.05420905763826826,0.058230147731525385,0.0382805209140558
