Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.4790835263682556,0.8625961148966044,0.8882150355954865,-0.23020051578033987,0.0035484749471202297,0.01205089530670036,0.006508130847368347,0.004451389841189226
10-20,0.6080640428736002,1.340769151764248,0.711216568239468,-0.08850983769097831,0.0032076246802060088,0.004477541694424178,0.003367998887901103,0.0020407456993282043
20-30,0.7180627940437359,1.2046800087095304,0.667855299342587,-0.04830807185458183,0.005619082324001796,0.008198440757261794,0.004616598650188453,0.0031156763396650404
30-40,0.7399316481269056,1.266353295041816,0.673858221348284,-0.05868198443650264,0.006445707942282141,0.008001248271181316,0.005082423555944387,0.003315382185572705
40-50,0.5381455059966518,0.6222226712966559,0.9948937038393935,-0.2680782412669806,0.005188461920448144,0.02124818525971381,0.0101120465585401,0.007789471213802588
50-60,1.000440549825091,1.5806814956272872,0.6267207735580583,-0.01001770999928392,0.00920832786218087,0.0058602062186666835,0.004152098097227765,0.0024754709108759073
60-70,1.1301851727651526,1.4436630912462975,0.599787743846587,0.04928705867000635,0.017193014619161767,0.009583800943826649,0.006361215030217376,0.004014599174680639
70-80,0.9485669132817985,1.5012385028601356,0.7414429124879188,-0.0189311026888157,0.010059325318551814,0.007811411598662398,0.005851761384876113,0.003739458213477079
80-90,0.7831965266801668,2.5601628163546826,1.0375000228533318,-0.07674281842637913,0.008969815506370635,0.014821225601777068,0.01052371684223902,0.0029587836238463574
90-100,1.365798850720133,1.9717826301281345,0.7076621680096666,0.05053182069958923,0.011842766951958857,0.005159942468262502,0.003506630736239512,0.0015637026079619398
