Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.9653076739706183,1.8288326957408259,470426.13756330195,-59624.65405251336,0.014261116183095562,0.009056025937033403,5240.5338337856865,2372.7779295424366
10-20,1.0150949448821165,1.731229649985458,155620.8271695343,-20082.398466982388,0.017849694137028933,0.0100323431789027,1991.257962828429,987.8140422841395
20-30,0.6881402941691406,1.851813477782853,126516.42940617667,-22934.294663722987,0.017180007409018934,0.015854744842871447,2667.226292670801,1272.3185919168752
30-40,1.234662016592317,1.547324129903216,80776.09554495294,-8460.06699267873,0.02660309934458845,0.012055405254342072,1130.4038190908402,661.7440608129672
40-50,0.7627011143024953,1.687650783494891,78673.43427321441,-16426.961062749193,0.015213729736436732,0.012663758072407142,1267.0101638437823,692.9123731176591
50-60,1.0296017788837262,2.2174498641204967,43964.338280603224,-3783.3469596858968,0.009568684772793221,0.0076710102117211595,301.1462353548126,104.66461278655933
60-70,1.1741589996577781,1.7545100143747547,45542.17579298706,-2776.3793673909418,0.02265009983700949,0.010859142073629953,580.2254505433091,289.4363785712828
70-80,0.5557440642919365,3.3823331189417143,60437.43529038236,-7305.6241124510025,0.016025445037585528,0.08157418497096877,2020.7877347625285,357.56641952956255
80-90,1.3305119783608577,2.916140647515823,40767.21281502776,-495.13172686047267,0.014261152712767924,0.013949183534153071,386.8942581979536,50.51245306049003
90-100,0.6649893909351313,1.494485887445163,26417.99587431877,-7070.8542875270305,0.04232131175103332,0.05317776059973813,1439.6911815039002,877.5517113533771
