Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,1.8719956371200686,2.251205488205857,0.25925247656030825,0.0,0.028153460206920725,0.014971719101506766,0.002460742610647066,0.0
10-20,1.8701894740872906,2.2495548539054044,0.2653461881804193,0.0,0.033177586834042816,0.017226258941691785,0.002837486770877846,0.0
20-30,2.2643333777124206,2.27798574539341,0.3130344006354625,0.0,0.03600224507332685,0.010817405106284757,0.0022714447911390194,0.0
30-40,2.134388937865632,2.055900031458722,0.29199695817714305,0.0,0.047890333605418896,0.016450337598360266,0.0029726505859478266,0.0
40-50,2.0668046419417574,2.1568611933394872,0.34826905161180804,0.0,0.035415742966664186,0.012848676034912826,0.0026596529440255975,0.0
50-60,1.9611721244388025,2.3436387303493085,0.3305052886206151,0.0,0.04859362797703845,0.020998020308987606,0.004256563069327868,0.0
60-70,2.0537815690867904,2.2403513648517843,0.24419618205334653,0.0,0.03933717624548711,0.015245418277545521,0.0023529315025717966,0.0
70-80,2.257127967297513,2.240668111376444,0.45049050537323904,0.0,0.06097216703194211,0.017252422114927106,0.004723868253795673,0.0
80-90,1.918518289855862,2.218478317731598,0.552693299109214,0.0,0.050272235596287705,0.022301248314424826,0.007144080507734162,0.0
90-100,1.8548867174854562,2.5467624799781543,0.5486546083628475,0.0,0.03713943664066461,0.019290903423338796,0.006560456911155744,0.0
