Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.46110260696248845,2.6276667726774066,0.6935032422873528,-0.14688336872450775,0.010207304747482835,0.040736810561348105,0.015456309564113554,0.0047718913926094375
10-20,0.4134333860956046,3.2247752463998904,0.8364587700479589,-0.16302704128053053,0.02636838360004335,0.18964489968000067,0.059546410592777474,0.013847710062538883
20-30,1.148699754036473,2.189751992930884,0.38510772885517447,0.0019895867403989494,0.024384237623632503,0.017117196173761638,0.005845269932980513,0.001908983117429972
30-40,0.9200571665673146,2.1090470906676964,0.45508346355689416,-0.03393644781503475,0.014997148352478465,0.013459293218935806,0.005878895829617091,0.0021410930759131527
40-50,0.9193820452030591,2.2563730176421974,0.428197432980396,-0.03684445472774522,0.011528695612853693,0.011276340941268838,0.004214275422717002,0.001450753344283703
50-60,1.5029790103641023,2.1758212727045736,0.4374280983938873,-0.01179778148431615,0.023212435652592303,0.010230521083246341,0.003859716392067623,0.001303784811021406
60-70,0.27452512784602495,0.3879514141596935,1.6358646325397945,-0.6881502053893235,0.08756507162258947,0.8658787364263588,0.5410552360518386,0.3659106911989337
70-80,1.1429401957284826,2.1381542369869324,0.4508283312566865,-0.03635826042340366,0.030489874568746623,0.018836087450119648,0.007952958107908822,0.003099953555844475
80-90,1.875550097049599,2.097590504745952,0.5937748667260818,-0.01396593224274405,0.047096972540627606,0.013749928031053687,0.00676799194829441,0.0025706161673771646
90-100,1.0100760801843127,2.4304033071710007,0.695417717811441,-0.052527580829358655,0.03086478831999095,0.030614264644794976,0.01642434967442248,0.004777262312301124
