Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,2.0525325006138595,2.109987616472906,0.35419352571907503,0.0,0.031676840896418465,0.012468512431442876,0.002793971346625345,0.0
10-20,2.0170151853451928,2.273984366273981,0.3487653533407048,0.0,0.03021727832177786,0.012891149638219222,0.002944381664815592,0.0
20-30,2.2051256050317605,2.232011742807473,0.38263537746437914,0.0,0.04076607655736741,0.013017280848800002,0.003248555847365486,0.0
30-40,1.9921586640680453,2.304934906719792,0.4105755105467874,0.0,0.027808510407226376,0.012165102424615609,0.0032319732863715883,0.0
40-50,1.6995059055580157,2.336496303145547,0.4566286126782512,0.0,0.036590743587085646,0.02335806254860644,0.006031848438965408,0.0
50-60,1.7682305304185746,2.6394015610544996,0.4287387621829389,0.0,0.024268365195615756,0.015358974992398985,0.004165128970015792,0.0
60-70,1.7442233405382728,2.7333759218146656,0.43925528019422755,0.0,0.02883467828876212,0.021497795285443568,0.006386988728925782,0.0
70-80,2.110778550376918,2.9437209781212204,0.43606611992628835,0.0,0.048537509022849736,0.02046693850103002,0.006725255604010555,0.0
80-90,1.734954100433431,3.125667388724873,0.5620666135373239,0.0,0.017454881848120177,0.014362408038875972,0.005737120899860768,0.0
90-100,1.5278877133422617,3.0599967251746154,0.5725158862159702,0.0,0.05628350489012482,0.06222018075452124,0.022507241780086146,0.0
