Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.2678378647224643,-27.94466686607617,1217.2334377342956,-1216.5498599872305,0.010084940972338554,134.87402530421747,43709.003894627116,43708.99771241969
10-20,0.23201273710235157,-31.605775861698284,1182.5160193590891,-1181.746791567816,0.008432964675556402,140.03755870950044,38156.76786274713,38156.760562644115
20-30,0.2575828371365018,-28.436497492975647,1196.6066657180215,-1195.8154699752133,,,,
30-40,0.20539269790686307,-34.57514081771589,1092.6836952918368,-1091.7829553081526,0.01405151635446931,239.02331540433192,53167.56819746702,53167.54919541877
40-50,0.30656255454140907,-25.712812153100913,2067.5810941664354,-2066.80479014065,0.006102193578231044,,,
50-60,0.37461597445369765,0.5982626004843361,1.6308790230294585,-0.7263031878522402,0.042824723657617234,0.2722776025594972,0.1932142146540805,0.13692391773009624
60-70,1.068439410193088,1.472598409389533,0.7908162068796842,-0.13629962149832042,0.01739555129195015,0.010247619494570459,0.009215401836774597,0.005679871978586937
70-80,0.6332672882847972,1.157868362097482,1.1865757623566962,-0.39660118462201216,0.023503384834751825,0.0483878989575908,0.040417661632464984,0.028103296845794563
80-90,0.6271592390326433,3.328053911951136,1.2477277886136595,-0.14263071571400004,0.006818339665137549,0.02932471026913677,0.01595102348533369,0.0025426629500764726
90-100,0.6703207692536,2.688011365383367,1.2478153356772492,-0.1761077294103209,0.034223016519226906,0.07862083993751778,0.06006250363631544,0.016441671572976563
