Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.5715294419569771,1.5257663696688184,0.7574381253826319,-0.1502759762926623,0.007606406472473583,0.00870711449946354,0.009040475499646518,0.004965316683509919
10-20,0.5995501737516143,1.7666597607907477,0.7242603892535936,-0.10454773241524089,0.0024322948075408686,0.0024756363043828325,0.002593783054636849,0.0012669231903433818
20-30,0.6940333934840222,1.6261410736261348,0.6909080970015218,-0.06943216571176526,0.0028815799227068367,0.0026297340009897095,0.0024193764213883404,0.001322627731870802
30-40,0.7464803590973765,1.7852857913190463,0.6720116633020314,-0.058685737667938255,0.0025476362344938617,0.002071079118550952,0.001895202110778697,0.000923284110029339
40-50,0.6299278320443377,1.3521217684409952,0.8734574581907172,-0.1794697376502491,0.004233825774204556,0.006498184257854921,0.005205580890242794,0.0032964210594617835
50-60,0.9644637318236439,2.003056013447304,0.6428045271431115,-0.026004852149447914,0.004418736178562725,0.003094327137686067,0.0021557045007371805,0.0009315695639537274
60-70,1.1128815802727632,1.8640012812060849,0.6276746873208714,0.03421344894546191,0.0065563250017617175,0.003552726069774304,0.00254110958336726,0.0011509246899322188
70-80,0.9994881353113969,2.02619990792571,0.6981547780170145,0.004072970108110624,0.004147589037201127,0.0027707549822379596,0.0020408311891378468,0.0008998310656876867
80-90,0.8799918092355451,2.9492444318974065,0.9009441610269269,-0.04060978940741114,0.010128449026268485,0.020474495229030738,0.01048100582046021,0.0017829480570801077
90-100,1.043282061700458,2.544019894124475,0.8604687698420251,-0.011450605793243555,0.011921935763078328,0.012622704185450733,0.007818398093322475,0.001967980932245445
