Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.596293945034864,1.2257798893178478,0.544776792394715,-0.057675079949069306,0.005448101213916598,0.008850975605498322,0.004552296538400511,0.002858002373659734
10-20,0.5437065546736172,0.9134747841097258,0.6438757800349325,-0.09622871290746406,0.01308136773637109,0.0367848884685393,0.015113317802582368,0.010523474431014505
20-30,0.5101702259118107,-0.08705840578771654,0.8599027363291017,-0.27196097432023286,0.008910781415969975,0.06191255881186917,0.01934136202100564,0.016578468193062315
30-40,0.24090142569648398,-5.143580075942569,2.7645134248209913,-2.0064795750513227,0.039485380126136276,2.756787312254589,1.1815124682972296,1.1385471762864077
40-50,0.6881285767843178,0.7986908267446713,0.7471552738882639,-0.1607346898540098,0.024777811706156578,0.06326970050398364,0.026928035743945023,0.02101642211388258
50-60,0.5472271449009671,-0.479191529914701,1.1062377115522313,-0.4854842631854909,0.03479165235705229,0.2853118743909762,0.11031847940928939,0.10077794634520316
60-70,0.6013450761597596,0.050550531868608334,0.716963646211198,0.043530221420505805,0.026166365838191208,0.13791970349403707,0.04048051134127438,0.03527167686257495
70-80,0.38389116484853725,-20.755600825339542,2105.7814056951624,-2104.957842954739,0.007594060103367551,86.78994710686054,69916.10542437506,69916.10231085117
80-90,1.2022432060335146,0.04427126994957068,1.115347575809051,-0.37350425562425876,0.031331047501657994,0.06661380732870732,0.04959215362469242,0.04783131018762092
90-100,1.0654610322160034,0.4933379098504168,0.8119891606132797,-0.12207854219543963,0.025930866844220392,0.045770465146708454,0.02287100207989655,0.020758503454516332
