Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.4279465521901282,0.09699110552677448,0.9829469825615746,-0.3200099800773098,0.0024271898667606764,0.017522250513147878,0.0063802288766564965,0.005031158004258852
10-20,0.5709339469311001,0.992793720770982,0.7285575647255481,-0.08824855197566102,0.002573067321990812,0.006223248458281494,0.0031419224674583785,0.0021554657413379325
20-30,0.6435751001456064,0.5995115679036626,0.7270299782292077,-0.08988498192494676,0.00504027779269819,0.016207376249216737,0.0060648839988429746,0.004846071602839034
30-40,0.6409336413790971,0.6138521329662595,0.7945414031283897,-0.1502595958393896,0.0081245267159331,0.025380720043016454,0.010627521113792315,0.008399039006769513
40-50,0.6362373988007081,0.4214818010866055,0.8714143569505207,-0.16673512477861108,0.006930040020893916,0.026998651137058054,0.010872673973504741,0.009089336070731695
50-60,0.7001808622593797,0.3130896411621564,0.8671685576462695,-0.22813281522471396,0.013940847074413017,0.0520472592596731,0.021080805554381955,0.018330722547333114
60-70,0.7699240545512067,0.2556609372572408,0.8630927565762654,-0.14129198936228998,0.0168320551119808,0.05633131866062776,0.023970369251991672,0.021263824911748604
70-80,0.7363486403104509,1.8364921124293443,0.9868339125778053,-0.0561623934818009,0.01669177108600579,0.01453688257860702,0.017996093855194083,0.009334893969405787
80-90,1.17999229011164,0.6897532512507716,0.9033865049623988,-0.12394261434249625,0.013932230249980177,0.017002614007491475,0.010523067653576326,0.009299980131563652
90-100,0.9004804649597942,1.305488845931771,0.6885898341673276,0.03280492963872515,0.008875350571749697,0.009084089740994832,0.00543164414480725,0.0037728659178248598
